number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
61,0.2818286716938019,2023-09-05 16:01:50.414304,2023-09-05 16:01:50.602692,0 days 00:00:00.188388,ReLU,ReLU,,,,48,21,16.0,,,,0.03175408028415123,2,180,0.4123335384718503,0.00013583677646150622,240.2948835218275,COMPLETE
62,0.23409856855869293,2023-09-05 16:01:50.602952,2023-09-05 16:01:50.826954,0 days 00:00:00.224002,ReLU,ReLU,,,,57,15,19.0,,,,0.017522815901107703,2,147,0.4559149929374407,4.603325048060015e-05,188.89337191374406,COMPLETE
63,0.21278642117977142,2023-09-05 16:01:50.827208,2023-09-05 16:01:51.200292,0 days 00:00:00.373084,ReLU,ReLU,,,,57,13,19.0,,,,0.008436153458266102,2,197,0.571052358848227,4.5156824767440466e-05,318.98532315767727,COMPLETE
64,0.2730570435523987,2023-09-05 16:01:51.200535,2023-09-05 16:01:51.574268,0 days 00:00:00.373733,ReLU,Tanh,,,,59,13,19.0,,,,0.008435797024818288,2,207,0.5835716430514439,4.2372168301666115e-05,118.23049676418304,COMPLETE
65,0.2484150528907776,2023-09-05 16:01:51.574523,2023-09-05 16:01:51.857945,0 days 00:00:00.283422,ReLU,ReLU,,,,64,15,16.0,,,,0.011124857714126316,2,145,0.5033683260074087,4.335108108245199e-05,118.91932059978616,COMPLETE
66,0.3018488585948944,2023-09-05 16:01:51.858192,2023-09-05 16:01:52.215949,0 days 00:00:00.357757,ReLU,ReLU,,,,67,13,16.0,,,,0.004784020523146279,2,145,0.509645595979091,4.271292641749596e-05,261.44800701141355,COMPLETE
67,0.2680596709251404,2023-09-05 16:01:52.216196,2023-09-05 16:01:52.439802,0 days 00:00:00.223606,ReLU,ReLU,,,,65,15,19.0,,,,0.012585652899944887,2,114,0.6224313737780824,7.10719973983354e-05,257.67340730365953,COMPLETE
68,0.2639036178588867,2023-09-05 16:01:52.440051,2023-09-05 16:01:52.845394,0 days 00:00:00.405343,ReLU,,,,,43,14,,,,,0.007224089137910987,1,75,0.7517307282082911,2.5314413775379837e-05,249.70897374834334,COMPLETE
69,0.26934465765953064,2023-09-05 16:01:52.845631,2023-09-05 16:01:53.235941,0 days 00:00:00.390310,ReLU,ReLU,,,,63,11,13.0,,,,0.010319603915080107,2,107,0.5581665269483221,4.384102108556979e-05,115.59551803787033,COMPLETE
70,0.24841752648353577,2023-09-05 16:01:53.236188,2023-09-05 16:01:53.713720,0 days 00:00:00.477532,Leaky,ReLU,,,,46,21,16.0,,,,0.0056901939706044905,2,213,0.6403970843437244,0.0001043430564635877,208.17498551553754,COMPLETE
