number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
61,0.3015093505382538,2023-09-05 14:38:06.592262,2023-09-05 14:38:07.237060,0 days 00:00:00.644798,Tanh,ReLU,ReLU,ReLU,,41,16,23.0,10.0,10.0,,0.011923649041877121,4,253,0.7968975205281835,2.5371471870717455e-05,196.57660379215162,COMPLETE
62,0.272861510515213,2023-09-05 14:38:07.237335,2023-09-05 14:38:07.800544,0 days 00:00:00.563209,Tanh,ReLU,ReLU,ReLU,,46,18,21.0,10.0,6.0,,0.006687398362750229,4,229,0.6923008507170965,1.669134408328056e-05,239.22013480708284,COMPLETE
63,0.34003305435180664,2023-09-05 14:38:07.800828,2023-09-05 14:38:08.438735,0 days 00:00:00.637907,Tanh,ReLU,ReLU,ReLU,,47,18,20.0,8.0,6.0,,0.006837739585991896,4,235,0.6882845297807496,1.6830321157108404e-05,783.6337614513579,COMPLETE
64,0.32155337929725647,2023-09-05 14:38:08.439013,2023-09-05 14:38:08.935606,0 days 00:00:00.496593,Tanh,ReLU,ReLU,ReLU,,29,16,21.0,8.0,5.0,,0.02071320845487255,4,183,0.6820072538153966,1.0029015381897779e-05,184.2115732828776,COMPLETE
65,0.2836235463619232,2023-09-05 14:38:08.935881,2023-09-05 14:38:09.395106,0 days 00:00:00.459225,Tanh,ReLU,ReLU,ReLU,Leaky,53,17,22.0,5.0,12.0,24.0,0.009453634898200102,5,294,0.7288852623582244,1.4321106846090422e-05,212.69738693237304,COMPLETE
66,0.28255829215049744,2023-09-05 14:38:09.395394,2023-09-05 14:38:10.293775,0 days 00:00:00.898381,Tanh,ReLU,ReLU,ReLU,,47,10,23.0,10.0,4.0,,0.014410337472969428,4,321,0.7496807861472746,2.1709428129480444e-05,228.78706155172208,COMPLETE
67,0.28352653980255127,2023-09-05 14:38:10.294056,2023-09-05 14:38:10.911454,0 days 00:00:00.617398,Tanh,ReLU,ReLU,ReLU,,33,14,21.0,9.0,8.0,,0.005947252569873338,4,279,0.6452132745121755,2.9576111245018103e-05,250.35893592055962,COMPLETE
68,0.334924578666687,2023-09-05 14:38:10.911734,2023-09-05 14:38:11.234723,0 days 00:00:00.322989,Tanh,Tanh,ReLU,ReLU,,45,18,24.0,12.0,11.0,,0.02605091282554147,4,388,0.6179604686936341,1.3308667671665658e-05,226.83944845199585,COMPLETE
69,0.29098594188690186,2023-09-05 14:38:11.235009,2023-09-05 14:38:11.677200,0 days 00:00:00.442191,Tanh,ReLU,ReLU,ReLU,,39,20,20.0,17.0,16.0,,0.016529563709719405,4,205,0.6860595199746374,4.8500515498262356e-05,224.0006217956543,COMPLETE
70,0.3102658689022064,2023-09-05 14:38:11.677477,2023-09-05 14:38:12.318638,0 days 00:00:00.641161,Tanh,Leaky,ReLU,Tanh,ReLU,36,11,18.0,14.0,14.0,9.0,0.008639318929980596,5,362,0.758977424677632,1.8538491634300908e-05,524.8752723693848,COMPLETE
71,0.2951669692993164,2023-09-05 14:38:12.318931,2023-09-05 14:38:12.941957,0 days 00:00:00.623026,Tanh,ReLU,ReLU,,,41,19,19.0,11.0,,,0.012323336327028957,3,223,0.7605417127774359,7.185160815350015e-05,219.4250078703228,COMPLETE
72,0.2980652153491974,2023-09-05 14:38:12.942232,2023-09-05 14:38:13.410683,0 days 00:00:00.468451,Tanh,ReLU,Leaky,,,50,18,21.0,12.0,,,0.010841940608084001,3,231,0.7593239667947755,3.6663133507043024e-05,116.15885894152584,COMPLETE
73,0.30957847833633423,2023-09-05 14:38:13.410966,2023-09-05 14:38:13.797488,0 days 00:00:00.386522,Tanh,ReLU,ReLU,,,43,21,22.0,7.0,,,0.03151842938301723,3,253,0.7963752760935618,5.792998127817319e-05,251.84994013169234,COMPLETE
