number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
48,0.21964363753795624,2023-08-24 11:56:43.613964,2023-08-24 11:56:44.352825,0 days 00:00:00.738861,ReLU,Sigmoid,Leaky,,,16,10,1.0,7.0,,,0.0017523420047071195,3,100,0.7197908352380915,0.0008992083666960489,COMPLETE
49,0.26605528593063354,2023-08-24 11:56:44.353081,2023-08-24 11:56:44.699737,0 days 00:00:00.346656,ReLU,Leaky,,,,30,17,11.0,,,,0.0010336239822336304,2,100,0.6197151267613226,0.00013437860169623398,COMPLETE
50,0.2846282720565796,2023-08-24 11:56:44.699981,2023-08-24 11:56:45.024565,0 days 00:00:00.324584,ReLU,,,,,12,19,,,,,0.0023941066356427117,1,60,0.5231030365727322,0.000732736406130427,COMPLETE
51,0.2731817364692688,2023-08-24 11:56:45.024807,2023-08-24 11:56:45.696429,0 days 00:00:00.671622,Leaky,Tanh,,,,16,16,11.0,,,,0.0007997648621060052,2,100,0.7482250789472227,0.001622855323788021,COMPLETE
52,0.3683107793331146,2023-08-24 11:56:45.696673,2023-08-24 11:56:46.605419,0 days 00:00:00.908746,Sigmoid,Tanh,,,,10,15,10.0,,,,0.0012150327729550305,2,100,0.6766431802541121,0.003272492103330716,COMPLETE
53,0.28868889808654785,2023-08-24 11:56:46.605675,2023-08-24 11:56:48.944795,0 days 00:00:02.339120,ReLU,Tanh,,,,4,12,13.0,,,,0.0007537155275125719,2,100,0.7465109864191783,0.0010294862556914017,COMPLETE
54,0.37057438492774963,2023-08-24 11:56:48.945050,2023-08-24 11:56:49.510172,0 days 00:00:00.565122,Tanh,Tanh,,,,16,14,15.0,,,,0.0005157680555917175,2,100,0.6298566247350966,0.00034461875240341896,COMPLETE
55,0.3829547166824341,2023-08-24 11:56:49.510428,2023-08-24 11:56:50.319089,0 days 00:00:00.808661,ReLU,Tanh,,,,10,18,5.0,,,,0.0003183557511880509,2,80,0.7481338895989946,0.0005293921783194153,COMPLETE
56,0.1947038769721985,2023-08-24 11:56:50.319337,2023-08-24 11:56:55.172719,0 days 00:00:04.853382,ReLU,ReLU,Sigmoid,,,2,16,19.0,16.0,,,0.0015526128567707798,3,100,0.6771523548577809,0.0018390003062362993,COMPLETE
57,0.18585647642612457,2023-08-24 11:56:55.172982,2023-08-24 11:57:00.042631,0 days 00:00:04.869649,ReLU,ReLU,Sigmoid,Tanh,,2,11,19.0,16.0,23.0,,0.008825395041581512,4,100,0.5961440129992798,0.0010040195906098118,COMPLETE
58,0.27395766973495483,2023-08-24 11:57:00.042899,2023-08-24 11:57:04.600832,0 days 00:00:04.557933,ReLU,ReLU,Sigmoid,Tanh,,2,11,19.0,15.0,24.0,,0.008643753034373522,4,100,0.546401514981314,0.0010038733737695925,COMPLETE
59,0.20636580884456635,2023-08-24 11:57:04.601106,2023-08-24 11:57:10.093561,0 days 00:00:05.492455,ReLU,ReLU,Sigmoid,Tanh,,2,8,23.0,11.0,19.0,,0.004134925211333404,4,100,0.6690317641788237,0.0004342727530834607,COMPLETE
60,0.19514648616313934,2023-08-24 11:57:10.093848,2023-08-24 11:57:15.493002,0 days 00:00:05.399154,ReLU,ReLU,Sigmoid,ReLU,Leaky,2,11,19.0,16.0,19.0,24.0,0.0013535918762390229,5,100,0.5855694408429677,0.00021098332916623182,COMPLETE
61,0.21117453277111053,2023-08-24 11:57:15.493287,2023-08-24 11:57:21.018855,0 days 00:00:05.525568,ReLU,ReLU,Sigmoid,ReLU,Leaky,2,11,19.0,16.0,19.0,24.0,0.0014362740624760566,5,100,0.5954450177003082,0.00018771307354776054,COMPLETE
62,0.234171524643898,2023-08-24 11:57:21.019138,2023-08-24 11:57:27.214371,0 days 00:00:06.195233,ReLU,ReLU,Sigmoid,ReLU,Leaky,2,9,20.0,19.0,20.0,24.0,0.0013717142445382967,5,100,0.6628678687141888,0.00034844655780037986,COMPLETE
63,0.214569553732872,2023-08-24 11:57:27.214645,2023-08-24 11:57:32.812051,0 days 00:00:05.597406,ReLU,ReLU,Sigmoid,ReLU,,2,10,22.0,11.0,16.0,,0.015468959858091815,4,100,0.6883006469996511,0.000255059571987959,COMPLETE
64,0.30354493856430054,2023-08-24 11:57:32.812315,2023-08-24 11:57:38.274288,0 days 00:00:05.461973,ReLU,ReLU,Sigmoid,Tanh,Leaky,2,13,17.0,21.0,21.0,17.0,0.002016750059820138,5,100,0.5845811589864824,0.000669261793410358,COMPLETE
