number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
44,0.1694341003894806,2023-08-31 23:06:18.276192,2023-08-31 23:07:02.818017,0 days 00:00:44.541825,Tanh,Leaky,Leaky,Sigmoid,Sigmoid,4,11,23.0,14.0,15.0,24.0,0.0004667074371859408,5,100,0.784282022858129,4.168924732637947e-05,COMPLETE
45,0.25427258014678955,2023-08-31 23:07:02.818303,2023-08-31 23:07:29.504449,0 days 00:00:26.686146,Tanh,Leaky,Leaky,Sigmoid,Sigmoid,4,14,23.0,15.0,15.0,24.0,0.0005198626427607951,5,80,0.5847940601458216,3.714052897386273e-05,COMPLETE
46,0.3404907286167145,2023-08-31 23:07:29.504754,2023-08-31 23:08:05.670545,0 days 00:00:36.165791,Tanh,Tanh,Leaky,Sigmoid,Sigmoid,4,8,23.0,12.0,20.0,24.0,0.00029779084680174014,5,100,0.636682690410535,1.0731356382471447e-05,COMPLETE
47,0.27480462193489075,2023-08-31 23:08:05.670842,2023-08-31 23:08:11.807110,0 days 00:00:06.136268,Tanh,Sigmoid,Leaky,Sigmoid,,30,17,21.0,11.0,11.0,,0.0009773410798836336,4,100,0.7967830398809567,6.47240072915156e-05,COMPLETE
48,0.17924833297729492,2023-08-31 23:08:11.807390,2023-08-31 23:08:50.082176,0 days 00:00:38.274786,Tanh,ReLU,Leaky,ReLU,,4,11,22.0,18.0,16.0,,0.000327593385436069,4,100,0.7158699002507174,1.742096567831514e-05,COMPLETE
49,0.36535948514938354,2023-08-31 23:08:50.082456,2023-08-31 23:08:56.277309,0 days 00:00:06.194853,Tanh,ReLU,Leaky,ReLU,Leaky,12,19,4.0,19.0,16.0,12.0,0.00022378333485385216,5,60,0.49008681681954375,3.1151917860131596e-05,COMPLETE
50,0.21505281329154968,2023-08-31 23:08:56.277607,2023-08-31 23:09:18.833548,0 days 00:00:22.555941,Tanh,ReLU,Leaky,ReLU,,4,11,24.0,18.0,20.0,,0.00044463928693096524,4,80,0.539359059831927,1.813665353696965e-05,COMPLETE
51,0.20405486226081848,2023-08-31 23:09:18.834014,2023-08-31 23:09:56.054292,0 days 00:00:37.220278,Tanh,ReLU,Leaky,ReLU,,4,9,22.0,14.0,12.0,,0.0009626558065199543,4,100,0.7145866890436605,1.619423381445164e-05,COMPLETE
52,0.19719623029232025,2023-08-31 23:09:56.054573,2023-08-31 23:10:26.568357,0 days 00:00:30.513784,Tanh,Leaky,Leaky,,,4,12,22.0,11.0,,,0.0006578930470878748,3,100,0.6528246906535796,2.3810836818384037e-05,COMPLETE
53,0.7142863869667053,2023-08-31 23:10:26.568639,2023-08-31 23:11:11.566170,0 days 00:00:44.997531,ReLU,ReLU,Leaky,Tanh,Tanh,4,11,23.0,21.0,14.0,1.0,0.00019545338023627882,5,100,0.7426067195019546,4.2407626518874015e-05,COMPLETE
54,0.22685246169567108,2023-08-31 23:11:11.566463,2023-08-31 23:11:45.684041,0 days 00:00:34.117578,Tanh,ReLU,Sigmoid,,,4,14,21.0,15.0,,,0.00033736680181272605,3,100,0.7235794285602515,1.2203508633600278e-05,COMPLETE
55,0.20879244804382324,2023-08-31 23:11:45.684318,2023-08-31 23:12:02.975111,0 days 00:00:17.290793,Sigmoid,Leaky,Leaky,ReLU,,8,10,23.0,10.0,21.0,,0.0014833617405855257,4,100,0.6442900086580989,3.532432581151138e-05,COMPLETE
56,0.19389908015727997,2023-08-31 23:12:02.975394,2023-08-31 23:12:10.274458,0 days 00:00:07.299064,ReLU,Tanh,ReLU,Sigmoid,Sigmoid,30,9,20.0,19.0,17.0,18.0,0.0022697355728369495,5,100,0.7976262823010001,5.74009506825528e-05,COMPLETE
57,0.40003976225852966,2023-08-31 23:12:10.274996,2023-08-31 23:12:24.623109,0 days 00:00:14.348113,Tanh,ReLU,Sigmoid,,,10,7,22.0,17.0,,,0.0001377992923448168,3,100,0.6724298685569348,1.923978607813377e-05,COMPLETE
58,0.19583760201931,2023-08-31 23:12:24.623388,2023-08-31 23:12:56.502941,0 days 00:00:31.879553,Leaky,Leaky,Leaky,Tanh,,4,12,19.0,12.0,9.0,,0.0006634635616428401,4,100,0.5992103505369842,1.4966853516386417e-05,COMPLETE
59,0.2038854956626892,2023-08-31 23:12:56.503226,2023-08-31 23:13:02.148054,0 days 00:00:05.644828,Sigmoid,Leaky,Leaky,,,16,16,24.0,24.0,,,0.0030128797933757375,3,60,0.7436208786351935,9.066665526238994e-05,COMPLETE
60,0.17954811453819275,2023-08-31 23:13:02.148332,2023-08-31 23:13:23.691222,0 days 00:00:21.542890,Tanh,Sigmoid,ReLU,,,4,15,21.0,7.0,,,0.005231201009759821,3,80,0.5793455665799118,2.4461555788579546e-05,COMPLETE
61,0.20909327268600464,2023-08-31 23:13:23.691500,2023-08-31 23:13:49.907704,0 days 00:00:26.216204,Tanh,Sigmoid,ReLU,,,4,15,21.0,4.0,,,0.004826983676567858,3,80,0.6950528849738298,2.5458925015485666e-05,COMPLETE
62,0.21204975247383118,2023-08-31 23:13:49.907988,2023-08-31 23:14:17.527476,0 days 00:00:27.619488,Tanh,Sigmoid,ReLU,,,4,14,20.0,7.0,,,0.003455971110974332,3,80,0.7481354189303453,3.451862472736477e-05,COMPLETE
63,0.7086060047149658,2023-08-31 23:14:17.527754,2023-08-31 23:14:39.340985,0 days 00:00:21.813231,Tanh,Sigmoid,ReLU,,,4,13,23.0,1.0,,,0.005935766817638158,3,80,0.5693753672072376,1.001183766546086e-05,COMPLETE
64,0.21468015015125275,2023-08-31 23:14:39.341258,2023-08-31 23:15:04.696575,0 days 00:00:25.355317,Leaky,Sigmoid,ReLU,,,4,11,22.0,7.0,,,0.002288979936937756,3,80,0.6821876503264075,1.549352834198351e-05,COMPLETE
65,0.22401975095272064,2023-08-31 23:15:04.696850,2023-08-31 23:15:14.589761,0 days 00:00:09.892911,Tanh,Leaky,Leaky,,,12,17,19.0,10.0,,,0.0008337469667266164,3,100,0.6261130643182391,5.24350139937807e-05,COMPLETE
66,0.18632081151008606,2023-08-31 23:15:14.590030,2023-08-31 23:15:48.363540,0 days 00:00:33.773510,Leaky,Leaky,Sigmoid,,,4,13,9.0,15.0,,,0.0031433796832828105,3,100,0.7560947636143182,2.3693941501713372e-05,COMPLETE
67,0.20795346796512604,2023-08-31 23:15:48.363821,2023-08-31 23:16:15.528455,0 days 00:00:27.164634,ReLU,Sigmoid,,,,4,16,12.0,,,,0.001790880982473536,2,80,0.7991582271422275,3.649167532139026e-05,COMPLETE
68,0.1826738864183426,2023-08-31 23:16:15.528724,2023-08-31 23:16:28.251979,0 days 00:00:12.723255,Leaky,Leaky,Leaky,ReLU,,10,9,18.0,13.0,15.0,,0.0012385062623077603,4,100,0.5733863895783146,1.3037901300052686e-05,COMPLETE
69,0.2721031904220581,2023-08-31 23:16:28.252254,2023-08-31 23:16:38.948413,0 days 00:00:10.696159,Tanh,ReLU,ReLU,ReLU,,10,4,17.0,13.0,15.0,,0.0013784923740381438,4,100,0.5136838804587077,1.9898549433342883e-05,COMPLETE
70,0.1869099885225296,2023-08-31 23:16:38.948708,2023-08-31 23:16:50.636786,0 days 00:00:11.688078,Leaky,Leaky,Tanh,ReLU,,10,10,18.0,21.0,13.0,,0.004278013120803584,4,100,0.5752991624784946,2.9183282288569678e-05,COMPLETE
71,0.196136474609375,2023-08-31 23:16:50.637071,2023-08-31 23:17:04.106127,0 days 00:00:13.469056,Leaky,Leaky,Leaky,ReLU,,10,8,20.0,14.0,16.0,,0.0010085906925985512,4,100,0.638947589502956,1.3345287592140862e-05,COMPLETE
72,0.22513319551944733,2023-08-31 23:17:04.106416,2023-08-31 23:17:18.397045,0 days 00:00:14.290629,Leaky,Leaky,Leaky,ReLU,,10,12,21.0,16.0,18.0,,0.00046441560652119116,4,100,0.6863697172611047,1.4013914011447413e-05,COMPLETE
