number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_fl6,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
52,0.1859545111656189,2023-09-01 23:50:01.471534,2023-09-01 23:50:09.078754,0 days 00:00:07.607220,Leaky,Leaky,,,,,8,15,10.0,,,,,0.003503589212376688,2,80,0.7392389460903609,0.00047824383919081666,COMPLETE
53,0.21562916040420532,2023-09-01 23:50:09.079039,2023-09-01 23:50:12.340636,0 days 00:00:03.261597,Leaky,,,,,,16,13,,,,,,0.005369747053898629,1,80,0.7596026911426809,0.00015010575987667074,COMPLETE
54,0.1687711626291275,2023-09-01 23:50:12.340883,2023-09-01 23:50:20.709479,0 days 00:00:08.368596,Leaky,Leaky,Leaky,,,,8,14,14.0,18.0,,,,0.009362326906455802,3,80,0.6651310956915697,0.0002466296452077024,COMPLETE
55,0.19516630470752716,2023-09-01 23:50:20.709747,2023-09-01 23:50:23.034564,0 days 00:00:02.324817,Leaky,Leaky,,,,,30,15,13.0,,,,,0.0020747862287101627,2,80,0.71281327488296,8.119237650820502e-05,COMPLETE
56,0.1898127794265747,2023-09-01 23:50:23.034829,2023-09-01 23:50:30.772736,0 days 00:00:07.737907,Leaky,Leaky,Tanh,,,,8,12,16.0,11.0,,,,0.01716965374284437,3,80,0.6077671256455356,0.00017401808379492837,COMPLETE
57,0.16305595636367798,2023-09-01 23:50:30.773009,2023-09-01 23:50:36.082584,0 days 00:00:05.309575,Leaky,Leaky,,,,,12,9,19.0,,,,,0.0031092835306040572,2,80,0.7465767086833092,0.00022114780619669834,COMPLETE
58,0.21989376842975616,2023-09-01 23:50:36.082880,2023-09-01 23:50:39.881110,0 days 00:00:03.798230,Leaky,,,,,,12,9,,,,,,0.0007992710487430249,1,100,0.5499821076015574,0.0008403610997527288,COMPLETE
59,0.256651908159256,2023-09-01 23:50:39.881377,2023-09-01 23:50:46.675851,0 days 00:00:06.794474,Leaky,ReLU,Leaky,Sigmoid,,,12,3,21.0,20.0,16.0,,,0.0030977948496695323,4,80,0.6311054698497942,0.0004900710474005016,COMPLETE
60,0.1923128366470337,2023-09-01 23:50:46.676127,2023-09-01 23:50:51.626404,0 days 00:00:04.950277,Tanh,Tanh,Leaky,,,,12,7,19.0,18.0,,,,0.001216350543932219,3,60,0.7497321639635172,0.00029255643444224663,COMPLETE
61,0.15781418979167938,2023-09-01 23:50:51.626679,2023-09-01 23:50:58.315775,0 days 00:00:06.689096,Leaky,Leaky,,,,,10,11,18.0,,,,,0.0042764818653396605,2,80,0.7976216161076338,0.00020008661168671504,COMPLETE
