number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
54,0.2083309292793274,2023-09-01 23:04:14.933334,2023-09-01 23:04:18.884926,0 days 00:00:03.951592,Tanh,8,14,0.010824674562664602,1,80,0.5082787531909719,3.9700672709222565e-05,COMPLETE
55,0.2289728820323944,2023-09-01 23:04:18.885168,2023-09-01 23:04:23.842703,0 days 00:00:04.957535,Tanh,12,18,0.022613708196987922,1,100,0.7380753485225358,2.336791466200539e-05,COMPLETE
56,0.21504560112953186,2023-09-01 23:04:23.842957,2023-09-01 23:04:25.876968,0 days 00:00:02.034011,Leaky,30,12,0.004138320368200912,1,100,0.6380279480523476,1.3712445538081592e-05,COMPLETE
57,0.17047414183616638,2023-09-01 23:04:25.877259,2023-09-01 23:04:30.262163,0 days 00:00:04.384904,Tanh,8,13,0.015316619810096414,1,60,0.7493902396402419,5.3792796276411835e-05,COMPLETE
58,0.2015289068222046,2023-09-01 23:04:30.262408,2023-09-01 23:04:33.826660,0 days 00:00:03.564252,ReLU,10,13,0.015184903654553272,1,60,0.7448224919367402,5.536239837641859e-05,COMPLETE
59,0.18317288160324097,2023-09-01 23:04:33.826914,2023-09-01 23:04:38.302670,0 days 00:00:04.475756,Tanh,8,14,0.029526034462864423,1,60,0.7661705161943543,0.00011829182895521962,COMPLETE
60,0.20104119181632996,2023-09-01 23:04:38.302917,2023-09-01 23:04:42.908960,0 days 00:00:04.606043,Tanh,8,16,0.029131981552926154,1,60,0.7876546258492952,0.00014028979012903906,COMPLETE
61,0.22309419512748718,2023-09-01 23:04:42.909198,2023-09-01 23:04:46.949976,0 days 00:00:04.040778,Tanh,8,14,0.051970457702419114,1,60,0.6890712790883324,3.406871039650217e-05,COMPLETE
62,0.19186954200267792,2023-09-01 23:04:46.950224,2023-09-01 23:04:51.369523,0 days 00:00:04.419299,Tanh,8,15,0.019474277003270396,1,60,0.7543752426434509,4.751041592117843e-05,COMPLETE
63,0.2749398648738861,2023-09-01 23:04:51.369776,2023-09-01 23:04:59.848014,0 days 00:00:08.478238,Tanh,4,15,0.08036448478967505,1,60,0.7586292281702027,7.772517256438867e-05,COMPLETE
