number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
73,0.18585994839668274,2023-09-01 23:06:07.825283,2023-09-01 23:06:12.978276,0 days 00:00:05.152993,Leaky,,12,14,,0.005043138957887787,1,100,0.7473132558114307,2.3162575627214002e-05,COMPLETE
74,0.2129456251859665,2023-09-01 23:06:12.978535,2023-09-01 23:06:17.589620,0 days 00:00:04.611085,Leaky,,12,11,,0.015179875570779508,1,100,0.6679399013800831,1.2995352035166438e-05,COMPLETE
75,0.19180811941623688,2023-09-01 23:06:17.589893,2023-09-01 23:06:22.376182,0 days 00:00:04.786289,Tanh,,10,12,,0.02219225132572624,1,100,0.5873052148655667,1.0271500524907678e-05,COMPLETE
76,0.40737929940223694,2023-09-01 23:06:22.376433,2023-09-01 23:06:27.468270,0 days 00:00:05.091837,Sigmoid,,12,1,,0.011178619051529,1,100,0.7545832121531676,1.807935601959272e-05,COMPLETE
77,0.2749580144882202,2023-09-01 23:06:27.468529,2023-09-01 23:06:29.433697,0 days 00:00:01.965168,Leaky,,12,13,,0.03903582223082381,1,40,0.7091975009333527,7.722812141782167e-05,COMPLETE
78,0.16982658207416534,2023-09-01 23:06:29.433947,2023-09-01 23:06:41.924581,0 days 00:00:12.490634,Sigmoid,,4,21,,0.006520761057068155,1,100,0.6541510522771024,3.016862608909191e-05,COMPLETE
79,0.17657531797885895,2023-09-01 23:06:41.924835,2023-09-01 23:06:53.839238,0 days 00:00:11.914403,Sigmoid,,4,21,,0.013598557474927341,1,100,0.6246992790107413,3.084776256668704e-05,COMPLETE
80,0.19530224800109863,2023-09-01 23:06:53.839500,2023-09-01 23:07:04.711337,0 days 00:00:10.871837,Sigmoid,,4,22,,0.008494870785478852,1,100,0.5674899575652484,5.3724110485521295e-05,COMPLETE
81,0.1857588291168213,2023-09-01 23:07:04.711592,2023-09-01 23:07:17.065326,0 days 00:00:12.353734,Sigmoid,,4,21,,0.013086129058243648,1,100,0.6497429445309937,3.1147448811918855e-05,COMPLETE
82,0.20143452286720276,2023-09-01 23:07:17.065591,2023-09-01 23:07:28.741763,0 days 00:00:11.676172,Sigmoid,,4,20,,0.004158395316749903,1,100,0.618542434606221,3.688369924539062e-05,COMPLETE
83,0.20590290427207947,2023-09-01 23:07:28.742020,2023-09-01 23:07:43.690842,0 days 00:00:14.948822,Sigmoid,,4,21,,0.027013304601107468,1,100,0.7892342067271656,4.313721500933534e-05,COMPLETE
84,0.21359297633171082,2023-09-01 23:07:43.691098,2023-09-01 23:07:56.211323,0 days 00:00:12.520225,Sigmoid,,4,22,,0.01926191992196294,1,100,0.6643353457687656,3.0226096558510707e-05,COMPLETE
85,0.18512879312038422,2023-09-01 23:07:56.211577,2023-09-01 23:08:07.007394,0 days 00:00:10.795817,Sigmoid,,4,23,,0.014167786686965543,1,100,0.5751308170149344,1.6860597968816123e-05,COMPLETE
86,0.22419270873069763,2023-09-01 23:08:07.007645,2023-09-01 23:08:09.011023,0 days 00:00:02.003378,Sigmoid,,30,20,,0.006744367010297125,1,100,0.6176376118273216,2.582557805008587e-05,COMPLETE
87,0.21409213542938232,2023-09-01 23:08:09.011278,2023-09-01 23:08:11.190235,0 days 00:00:02.178957,Sigmoid,,16,19,,0.04828450770382868,1,80,0.5132161117681673,8.527525470514432e-05,COMPLETE
88,0.17915333807468414,2023-09-01 23:08:11.190494,2023-09-01 23:08:25.339723,0 days 00:00:14.149229,Sigmoid,,4,24,,0.03478081567253429,1,100,0.7568288027893415,1.3534328672260614e-05,COMPLETE
89,0.23027704656124115,2023-09-01 23:08:25.339977,2023-09-01 23:08:39.561603,0 days 00:00:14.221626,ReLU,,4,23,,0.009106110821124426,1,100,0.7634628607903989,1.307262670095838e-05,COMPLETE
90,0.2010854333639145,2023-09-01 23:08:39.561854,2023-09-01 23:08:53.251269,0 days 00:00:13.689415,Sigmoid,,4,24,,0.0357372893076855,1,100,0.740094847134729,5.746024565584076e-05,COMPLETE
91,0.19816622138023376,2023-09-01 23:08:53.251531,2023-09-01 23:09:06.057056,0 days 00:00:12.805525,Sigmoid,,4,22,,0.030134495592017505,1,100,0.6903692367383829,1.8037465687702603e-05,COMPLETE
92,0.16683292388916016,2023-09-01 23:09:06.057319,2023-09-01 23:09:13.804523,0 days 00:00:07.747204,Sigmoid,,8,24,,0.022159894506544285,1,100,0.7990815839197839,2.3454615704805404e-05,COMPLETE
93,0.17298229038715363,2023-09-01 23:09:13.804768,2023-09-01 23:09:21.458544,0 days 00:00:07.653776,Sigmoid,,8,24,,0.020785040197833126,1,100,0.7915710111991118,2.6522812911368436e-05,COMPLETE
94,0.2022790163755417,2023-09-01 23:09:21.458794,2023-09-01 23:09:29.121022,0 days 00:00:07.662228,Sigmoid,,8,24,,0.022547141141735408,1,100,0.7919641622967528,1.4329621118274002e-05,COMPLETE
95,0.19368520379066467,2023-09-01 23:09:29.121289,2023-09-01 23:09:36.179014,0 days 00:00:07.057725,Sigmoid,,8,24,,0.017074889251598956,1,100,0.7254261180398381,4.009179769416073e-05,COMPLETE
96,0.2153806835412979,2023-09-01 23:09:36.179266,2023-09-01 23:09:43.506954,0 days 00:00:07.327688,Sigmoid,,8,18,,0.05868371263769544,1,100,0.7518218516414363,2.376503327404359e-05,COMPLETE
97,0.2123837023973465,2023-09-01 23:09:43.507205,2023-09-01 23:09:46.512516,0 days 00:00:03.005311,Sigmoid,,8,23,,0.04457933110981906,1,40,0.7654120534252646,2.9571251274275596e-05,COMPLETE
98,0.22597269713878632,2023-09-01 23:09:46.512770,2023-09-01 23:09:54.288259,0 days 00:00:07.775489,Sigmoid,,8,21,,0.023989509798570126,1,100,0.7987761368744263,1.658150322670058e-05,COMPLETE
99,0.1908603012561798,2023-09-01 23:09:54.288516,2023-09-01 23:10:00.611655,0 days 00:00:06.323139,Tanh,,8,23,,0.018636525905271182,1,100,0.6479273341325901,4.803257530846663e-05,COMPLETE
100,0.19480597972869873,2023-09-01 23:10:00.611909,2023-09-01 23:10:13.814248,0 days 00:00:13.202339,Sigmoid,,4,24,,0.013665939024264587,1,100,0.7091893187066829,1.1578639962018974e-05,COMPLETE
101,0.18005090951919556,2023-09-01 23:10:13.814513,2023-09-01 23:10:20.390894,0 days 00:00:06.576381,Sigmoid,,8,22,,0.011383830233918903,1,100,0.6738824284441821,2.6572039027438005e-05,COMPLETE
102,0.17510972917079926,2023-09-01 23:10:20.391153,2023-09-01 23:10:27.040689,0 days 00:00:06.649536,Sigmoid,,8,22,,0.015463265393197258,1,100,0.6771273968057154,3.6335029165491396e-05,COMPLETE
