number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
57,0.31954696774482727,2023-08-31 19:34:28.178542,2023-08-31 19:34:31.284352,0 days 00:00:03.105810,Tanh,,,,,8,12,,,,,0.03125041438003907,1,40,0.7590377104629425,0.00017134587504403953,COMPLETE
58,0.13622626662254333,2023-08-31 19:34:31.284611,2023-08-31 19:34:36.164069,0 days 00:00:04.879458,Tanh,Tanh,Sigmoid,Leaky,,16,6,4.0,10.0,21.0,,0.02012721974998751,4,60,0.7975740817652024,6.340921972859147e-05,COMPLETE
59,0.9004206657409668,2023-08-31 19:34:36.164356,2023-08-31 19:34:47.261340,0 days 00:00:11.096984,ReLU,Leaky,Sigmoid,Leaky,Tanh,4,13,19.0,18.0,14.0,8.0,0.08974765470213274,5,40,0.5722242742167439,9.715349234884293e-05,COMPLETE
60,0.19260811805725098,2023-08-31 19:34:47.261640,2023-08-31 19:35:08.483213,0 days 00:00:21.221573,Sigmoid,Tanh,Leaky,Leaky,,2,6,17.0,12.0,8.0,,0.0314037161133308,4,40,0.7185151917960696,5.2137558371707174e-05,COMPLETE
61,0.12799714505672455,2023-08-31 19:35:08.483511,2023-08-31 19:35:11.555904,0 days 00:00:03.072393,Tanh,Tanh,Tanh,Leaky,,16,7,19.0,8.0,16.0,,0.006573461016322468,4,40,0.7512035581292488,3.120893236361326e-05,COMPLETE
62,0.17118078470230103,2023-08-31 19:35:11.556187,2023-08-31 19:35:14.201712,0 days 00:00:02.645525,Tanh,Tanh,Tanh,Leaky,,16,7,20.0,9.0,17.0,,0.01234354322307895,4,40,0.6431088853283111,7.36183153297097e-05,COMPLETE
63,0.3174129128456116,2023-08-31 19:35:14.201998,2023-08-31 19:35:17.196792,0 days 00:00:02.994794,Tanh,Tanh,Tanh,Leaky,,16,9,22.0,11.0,1.0,,0.008672605231745173,4,40,0.7420858535362119,0.00021629131220720033,COMPLETE
64,0.17637400329113007,2023-08-31 19:35:17.197078,2023-08-31 19:35:19.968047,0 days 00:00:02.770969,Tanh,Tanh,Tanh,Leaky,,16,10,17.0,8.0,15.0,,0.01742086492585327,4,40,0.6854054298783403,3.0411656228659727e-05,COMPLETE
65,0.24871109426021576,2023-08-31 19:35:19.968332,2023-08-31 19:35:21.482865,0 days 00:00:01.514533,Tanh,Sigmoid,Sigmoid,Leaky,Tanh,30,8,19.0,13.0,12.0,15.0,0.006391508833406677,5,40,0.5599408139193581,0.00014501567210344394,COMPLETE
66,0.14447951316833496,2023-08-31 19:35:21.483150,2023-08-31 19:35:26.182953,0 days 00:00:04.699803,Tanh,Tanh,Tanh,Leaky,,16,11,21.0,15.0,17.0,,0.010256149143135048,4,40,0.7989669385029791,5.113954955013343e-05,COMPLETE
67,0.1757301539182663,2023-08-31 19:35:26.183450,2023-08-31 19:35:39.671676,0 days 00:00:13.488226,ReLU,Tanh,Sigmoid,,,12,15,23.0,7.0,,,0.025519121917021947,3,80,0.4911753259660573,1.4025388302602006e-05,COMPLETE
68,0.172683984041214,2023-08-31 19:35:39.672141,2023-08-31 19:35:47.284240,0 days 00:00:07.612099,Tanh,Tanh,Leaky,,,16,7,20.0,10.0,,,0.012788058455298823,3,40,0.7349993524435167,3.432796118929252e-05,COMPLETE
69,0.13742879033088684,2023-08-31 19:35:47.284706,2023-08-31 19:36:14.620399,0 days 00:00:27.335693,Sigmoid,Tanh,Sigmoid,Sigmoid,ReLU,8,23,22.0,14.0,15.0,20.0,0.016797188414719024,5,60,0.6104828354483859,2.8381171759862458e-05,COMPLETE
70,0.1320284903049469,2023-08-31 19:36:14.620900,2023-08-31 19:36:45.345969,0 days 00:00:30.725069,Tanh,Tanh,Tanh,ReLU,,4,8,18.0,12.0,13.0,,0.005934894967726708,4,40,0.6595793251157391,0.00010489221606277104,COMPLETE
71,0.13850098848342896,2023-08-31 19:36:45.346453,2023-08-31 19:37:16.700395,0 days 00:00:31.353942,Tanh,Tanh,Tanh,ReLU,,4,8,19.0,11.0,13.0,,0.00669308472054473,4,40,0.672127303335532,9.428654310144234e-05,COMPLETE
72,0.11738703399896622,2023-08-31 19:37:16.700895,2023-08-31 19:37:51.832852,0 days 00:00:35.131957,Tanh,Tanh,Tanh,ReLU,,4,12,18.0,12.0,16.0,,0.004021737747751183,4,40,0.7495786350776417,0.00010999198854777303,COMPLETE
73,0.08831164240837097,2023-08-31 19:37:51.833395,2023-08-31 19:38:27.902405,0 days 00:00:36.069010,Tanh,Tanh,Tanh,ReLU,,4,11,15.0,12.0,16.0,,0.004092971013416663,4,40,0.7623070309431419,0.00011298051704020403,COMPLETE
74,0.1316348761320114,2023-08-31 19:38:27.902894,2023-08-31 19:39:03.832281,0 days 00:00:35.929387,Tanh,Tanh,Tanh,ReLU,,4,11,15.0,13.0,16.0,,0.00437795307965557,4,40,0.7603248192942539,0.0001416709055452111,COMPLETE
75,0.11879334598779678,2023-08-31 19:39:03.832790,2023-08-31 19:39:28.248596,0 days 00:00:24.415806,Tanh,Tanh,Tanh,,,4,12,17.0,10.0,,,0.003904312773106052,3,40,0.6303832042638551,7.901499622441282e-05,COMPLETE
76,0.16442497074604034,2023-08-31 19:39:28.249065,2023-08-31 19:39:52.650087,0 days 00:00:24.401022,Tanh,Tanh,Tanh,,,4,12,16.0,9.0,,,0.00388902296129244,3,40,0.635043239807954,7.146509922317955e-05,COMPLETE
77,0.15191787481307983,2023-08-31 19:39:52.650571,2023-08-31 19:40:35.824146,0 days 00:00:43.173575,Tanh,Sigmoid,Tanh,,,4,14,14.0,8.0,,,0.0040542161747967095,3,80,0.5620873023277244,5.519823034993357e-05,COMPLETE
78,0.17281846702098846,2023-08-31 19:40:35.824643,2023-08-31 19:41:05.377182,0 days 00:00:29.552539,ReLU,Tanh,Tanh,,,4,12,17.0,14.0,,,0.005511708051103677,3,40,0.7635476681565793,4.536652379050942e-05,COMPLETE
79,0.14976878464221954,2023-08-31 19:41:05.377661,2023-08-31 19:41:36.008076,0 days 00:00:30.630415,Tanh,Leaky,Tanh,,,4,13,15.0,10.0,,,0.00285484632976405,3,60,0.5274227307326673,0.00018152763707576596,COMPLETE
80,0.1471576988697052,2023-08-31 19:41:36.008553,2023-08-31 19:42:36.224008,0 days 00:01:00.215455,Sigmoid,Tanh,Tanh,,,4,11,18.0,11.0,,,0.008223114128365822,3,100,0.6233781263745185,7.936322804472861e-05,COMPLETE
81,0.10903731733560562,2023-08-31 19:42:36.224483,2023-08-31 19:43:08.863108,0 days 00:00:32.638625,Tanh,Tanh,Tanh,ReLU,,4,10,19.0,12.0,19.0,,0.0022887650369009774,4,40,0.6995860652767268,0.00010354993073218641,COMPLETE
