number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
69,0.19084687530994415,2023-09-01 23:07:50.850473,2023-09-01 23:08:03.362454,0 days 00:00:12.511981,Tanh,Leaky,Sigmoid,,2,23,16.0,20.0,,0.009701848104968127,3,60,0.33134666066874524,1.3034125388293843e-05,COMPLETE
70,0.1823718398809433,2023-09-01 23:08:03.362739,2023-09-01 23:08:15.899355,0 days 00:00:12.536616,ReLU,Sigmoid,Leaky,,4,18,12.0,16.0,,0.0030432063919392746,3,100,0.3960882386088935,3.1254757238004244e-05,COMPLETE
71,0.17365115880966187,2023-09-01 23:08:15.899643,2023-09-01 23:08:24.943011,0 days 00:00:09.043368,Tanh,ReLU,Sigmoid,,4,19,13.0,17.0,,0.006555814439923627,3,60,0.4717704996942121,5.717346121059784e-05,COMPLETE
72,0.17946431040763855,2023-09-01 23:08:24.943290,2023-09-01 23:08:34.319232,0 days 00:00:09.375942,Tanh,ReLU,Sigmoid,,4,19,13.0,17.0,,0.005627761789327432,3,60,0.49086076017036606,1.8340431716323972e-05,COMPLETE
73,0.18891498446464539,2023-09-01 23:08:34.319529,2023-09-01 23:08:44.508240,0 days 00:00:10.188711,Tanh,ReLU,Sigmoid,,4,20,11.0,18.0,,0.014689588882383215,3,60,0.5363528576525732,5.128160716619349e-05,COMPLETE
74,0.2208782136440277,2023-09-01 23:08:44.508519,2023-09-01 23:08:52.518879,0 days 00:00:08.010360,Tanh,ReLU,Sigmoid,,4,12,14.0,14.0,,0.004251543915901161,3,60,0.4253496128284385,2.4325988323300957e-05,COMPLETE
75,0.21207287907600403,2023-09-01 23:08:52.519168,2023-09-01 23:08:54.640161,0 days 00:00:02.120993,Sigmoid,Leaky,Tanh,,12,21,15.0,19.0,,0.0077998272555417905,3,40,0.4657085153719161,9.749611515478583e-05,COMPLETE
76,0.18249210715293884,2023-09-01 23:08:54.640470,2023-09-01 23:08:57.754459,0 days 00:00:03.113989,Tanh,ReLU,Sigmoid,,16,19,12.0,22.0,,0.02551053622250191,3,60,0.5954937327840253,1.260106947943131e-05,COMPLETE
77,0.20347155630588531,2023-09-01 23:08:57.754744,2023-09-01 23:09:05.785938,0 days 00:00:08.031194,Tanh,Leaky,ReLU,,4,16,17.0,18.0,,0.011550305565381619,3,60,0.41578862419728196,3.724979005600904e-05,COMPLETE
78,0.18458738923072815,2023-09-01 23:09:05.786216,2023-09-01 23:09:15.002045,0 days 00:00:09.215829,Tanh,Leaky,Sigmoid,,4,22,18.0,11.0,,0.006034913768877481,3,60,0.48437033860418593,1.7029349857167558e-05,COMPLETE
79,0.17290283739566803,2023-09-01 23:09:15.002330,2023-09-01 23:09:18.537324,0 days 00:00:03.534994,Tanh,Leaky,Sigmoid,,10,17,13.0,21.0,,0.0036091430293388113,3,60,0.44486246091921644,7.734730435845302e-05,COMPLETE
80,0.1834787279367447,2023-09-01 23:09:18.537610,2023-09-01 23:09:21.583748,0 days 00:00:03.046138,Tanh,Leaky,Sigmoid,,10,17,16.0,23.0,,0.0022632251351701045,3,60,0.3799493331263991,2.6012574385977428e-05,COMPLETE
81,0.18258251249790192,2023-09-01 23:09:21.584030,2023-09-01 23:09:25.067318,0 days 00:00:03.483288,Tanh,Leaky,Sigmoid,,10,18,13.0,21.0,,0.0037057541292891956,3,60,0.4373267076560271,0.00012444290276238034,COMPLETE
