number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
82,0.1011914387345314,2023-09-02 12:38:35.073163,2023-09-02 12:39:08.676526,0 days 00:00:33.603363,ReLU,Leaky,4,10,18.0,0.002995885578961493,2,100,0.6487082254774768,1.4209708879056221e-05,COMPLETE
83,0.10203693062067032,2023-09-02 12:39:08.676795,2023-09-02 12:39:14.931363,0 days 00:00:06.254568,ReLU,Leaky,30,12,19.0,0.0014575386808968727,2,100,0.7418497577632345,2.3094258302059266e-05,COMPLETE
84,0.10039808601140976,2023-09-02 12:39:14.931631,2023-09-02 12:39:20.256776,0 days 00:00:05.325145,ReLU,Leaky,30,24,17.0,0.0020581035733502864,2,100,0.6226810786797828,6.294052514407086e-05,COMPLETE
85,0.0897655040025711,2023-09-02 12:39:20.257043,2023-09-02 12:39:26.708948,0 days 00:00:06.451905,ReLU,Leaky,30,14,20.0,0.003951072497990087,2,100,0.761663158407429,0.00017881074403285738,COMPLETE
86,0.09195930510759354,2023-09-02 12:39:26.709209,2023-09-02 12:39:47.604163,0 days 00:00:20.894954,ReLU,Sigmoid,8,15,23.0,0.004179699542534476,2,100,0.7727923422642992,0.0001788619340982949,COMPLETE
87,0.09848188608884811,2023-09-02 12:39:47.604429,2023-09-02 12:39:58.877914,0 days 00:00:11.273485,Tanh,Sigmoid,12,14,23.0,0.0042261299514710655,2,80,0.7587303384771701,0.0001465098719872947,COMPLETE
88,0.1349654197692871,2023-09-02 12:39:58.878194,2023-09-02 12:40:04.241053,0 days 00:00:05.362859,Sigmoid,,10,17,,0.00881692322841092,1,40,0.7970628360184552,0.00019269821320956105,COMPLETE
89,0.09330374002456665,2023-09-02 12:40:04.241313,2023-09-02 12:40:17.145864,0 days 00:00:12.904551,ReLU,Sigmoid,12,20,21.0,0.007190744544214703,2,100,0.6893410993009518,0.00010443597324551466,COMPLETE
90,0.10715114325284958,2023-09-02 12:40:17.146139,2023-09-02 12:40:36.502631,0 days 00:00:19.356492,Leaky,Sigmoid,8,16,23.0,0.005390435728135894,2,100,0.7215832579784268,0.00039450881860547395,COMPLETE
91,0.09935671091079712,2023-09-02 12:40:36.502894,2023-09-02 12:40:57.072709,0 days 00:00:20.569815,ReLU,Sigmoid,8,15,22.0,0.002456601597830337,2,100,0.7591421953452939,7.760460077827757e-05,COMPLETE
92,0.09305854886770248,2023-09-02 12:40:57.072975,2023-09-02 12:41:17.396315,0 days 00:00:20.323340,ReLU,Tanh,8,13,2.0,0.0033577550888275495,2,100,0.7650300827698059,0.00017123490313772396,COMPLETE
93,0.09858688712120056,2023-09-02 12:41:17.396571,2023-09-02 12:41:35.580508,0 days 00:00:18.183937,ReLU,Tanh,8,13,8.0,0.003577475946747648,2,100,0.681426947350129,0.00017347503114746403,COMPLETE
94,0.08737356960773468,2023-09-02 12:41:35.580769,2023-09-02 12:41:54.767146,0 days 00:00:19.186377,ReLU,Tanh,8,19,6.0,0.0044669770107030335,2,100,0.7166770574827077,0.00010770788422295735,COMPLETE
95,0.0977260172367096,2023-09-02 12:41:54.767410,2023-09-02 12:42:08.063644,0 days 00:00:13.296234,Leaky,Tanh,12,19,5.0,0.004804943050243605,2,100,0.7205736169182723,9.480256402060671e-05,COMPLETE
96,0.09940394759178162,2023-09-02 12:42:08.063919,2023-09-02 12:42:11.212395,0 days 00:00:03.148476,ReLU,Tanh,30,19,12.0,0.012309087387246719,2,60,0.6126203944748815,0.00010684498168244495,COMPLETE
97,0.08542183041572571,2023-09-02 12:42:11.212661,2023-09-02 12:42:32.732739,0 days 00:00:21.520078,Leaky,Tanh,8,18,24.0,0.004113055739878947,2,100,0.7971840858967821,0.0002549673872352736,COMPLETE
98,0.09942786395549774,2023-09-02 12:42:32.733003,2023-09-02 12:42:42.226036,0 days 00:00:09.493033,Leaky,Tanh,16,18,7.0,0.006288535044925712,2,100,0.6678461412711848,0.00022875885195192063,COMPLETE
