number,value,params_activation_1,params_batch_size,params_epochs,params_layer_1,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
357,0.683806300163269,Leaky,74,303,20,0.013219700414983068,1,0.10509441389407766,0.055960920360562015,1.7192014455795288,0.683806300163269,0.22695136070251465,COMPLETE
358,1.0599557161331177,Leaky,78,281,22,1.67534042892482e-05,1,0.10006478348281479,0.004427599989994042,1.816704511642456,1.0599557161331177,-0.16906225681304932,COMPLETE
359,0.6515517234802246,Leaky,71,205,21,0.003336347851554882,1,0.1183166489165451,0.030176186417703945,1.8429149389266968,0.6515517234802246,0.24524003267288208,COMPLETE
360,0.6253455281257629,Leaky,61,253,21,0.005637316080795591,1,0.11239981889311111,0.010549203622255976,2.530731678009033,0.6253455281257629,0.17961913347244263,COMPLETE
361,0.7237285375595093,Leaky,62,243,19,0.005577031554167439,1,0.22166692028312548,0.011074599172598173,8.13263988494873,0.7237285375595093,0.25685012340545654,COMPLETE
362,0.658452570438385,Leaky,63,258,20,0.004550080896760851,1,0.12164178764911375,0.000750522015462153,1.5405524969100952,0.658452570438385,0.09134197235107422,COMPLETE
363,0.6920818090438843,Leaky,57,252,21,0.006506981847971004,1,0.11502638699480941,0.012951001591311606,2.0535073280334473,0.6920818090438843,0.14016634225845337,COMPLETE
364,0.6644867658615112,Leaky,66,232,20,0.00364627804463786,1,0.10708010868211787,0.037970300607821306,1.7831127643585205,0.6644867658615112,0.23040032386779785,COMPLETE
365,0.6924204230308533,Leaky,59,246,21,0.009010883308987827,1,0.14246935384786152,0.009002904199327243,1.674576997756958,0.6924204230308533,0.17669707536697388,COMPLETE
366,0.6392227411270142,Leaky,62,267,20,0.0011347357526395633,1,0.11231528799131255,0.024868091197666507,2.082732915878296,0.6392227411270142,0.26609283685684204,COMPLETE
367,0.6639055609703064,Leaky,64,340,21,0.005797187678860299,1,0.11758713984670176,0.0627135216340309,1.4409481287002563,0.6639055609703064,0.26293230056762695,COMPLETE
368,0.6510875225067139,Leaky,61,218,21,0.00745061997129716,1,0.10656544884365013,0.01602234462600941,1.983343243598938,0.6510875225067139,0.10422331094741821,COMPLETE
369,0.6252589225769043,Leaky,53,155,21,0.004632532016071073,1,0.11238369805629878,0.04430649308478999,2.3554859161376953,0.6252589225769043,0.26649558544158936,COMPLETE
370,0.6753916144371033,Leaky,52,153,20,0.0003298105116799032,1,0.12222104404527728,0.048863363926350135,1.540590524673462,0.6753916144371033,0.2384166717529297,COMPLETE
371,0.6873217821121216,Leaky,56,142,21,0.0027590243534679924,1,0.13185265051524986,0.07875669947991724,1.3553831577301025,0.6873217821121216,0.2627369165420532,COMPLETE
372,0.6443055272102356,Leaky,51,165,22,0.0006447504898429855,1,0.11471786178156794,0.01904216122413188,2.2129275798797607,0.6443055272102356,0.27071166038513184,COMPLETE
373,0.6800473928451538,Leaky,50,157,20,0.004301059496462232,1,0.5012097162704743,0.03213764943766804,1.2106834650039673,0.6800473928451538,0.33369243144989014,COMPLETE
374,0.6671678423881531,Leaky,60,146,19,0.0020948535162169397,1,0.10883317536586429,0.05797687842709264,2.1581194400787354,0.6671678423881531,0.24790459871292114,COMPLETE
375,0.6743647456169128,Leaky,94,134,21,0.0038301680246451654,1,0.2076786318885427,0.007647646756527748,3.3910622596740723,0.6743647456169128,0.2966804504394531,COMPLETE
376,0.7105968594551086,Leaky,66,237,21,0.0014306561862718968,1,0.15494242314884668,0.025192086057495795,2.1451568603515625,0.7105968594551086,0.25101763010025024,COMPLETE
377,0.6589959859848022,Leaky,10,223,22,0.0018541496675543172,1,0.10392634889620919,0.035942619281788504,1.3757072687149048,0.6589959859848022,0.17345213890075684,COMPLETE
378,0.6573835015296936,Leaky,58,169,20,0.004920841094672318,1,0.2703715067359143,0.01140138171958191,1.626503348350525,0.6573835015296936,0.3406113386154175,COMPLETE
379,0.6460452079772949,Leaky,54,256,21,0.0027004170582523154,1,0.12468612553089808,0.04658521315836061,6.779318809509277,0.6460452079772949,0.2718293070793152,COMPLETE
380,0.6613210439682007,Leaky,52,158,22,0.0012538683697090017,1,0.11824424977885953,0.013723556625825467,1.6843351125717163,0.6613210439682007,0.2626437544822693,COMPLETE
381,0.6919656991958618,Leaky,68,179,21,0.01121764989967877,1,0.18693732808765226,0.028614211687440334,1.773984432220459,0.6919656991958618,0.29804450273513794,COMPLETE
382,0.683730959892273,Leaky,69,198,20,0.007452205317728151,1,0.2011971596615447,0.021700094815077165,2.457226037979126,0.683730959892273,0.2761968970298767,COMPLETE
383,0.6355857849121094,Leaky,65,188,18,0.001626902283564256,1,0.11214284287520596,0.039791579791753136,2.254032611846924,0.6355857849121094,0.2682635188102722,COMPLETE
384,0.6532406806945801,Leaky,87,344,21,0.0010279909014425002,1,0.10274132942088159,0.07094425483821441,1.4626541137695312,0.6532406806945801,0.2612455487251282,COMPLETE
385,0.6522376537322998,Leaky,71,268,13,0.003415811540029345,1,0.10929270931121658,0.04905069251733787,4.172181129455566,0.6522376537322998,0.24939781427383423,COMPLETE
386,0.6564546227455139,Leaky,54,327,22,0.009376275030518152,1,0.11618343710845848,0.009876575369801443,1.6639598608016968,0.6564546227455139,0.18169265985488892,COMPLETE
387,0.6254596710205078,Leaky,70,397,21,0.0048343719129108,1,0.11272191591152,0.017963449368405205,2.691122055053711,0.6254596710205078,0.1995810866355896,COMPLETE
388,0.6708877682685852,Leaky,68,253,21,0.005053376025608808,1,0.1916060151988035,0.018293917624597117,1.9814784526824951,0.6708877682685852,0.29948151111602783,COMPLETE
389,0.6579622626304626,Leaky,70,397,20,0.004352652378343735,1,0.10717923747975389,0.023028807047387915,1.703325867652893,0.6579622626304626,0.22415149211883545,COMPLETE
390,0.6739289164543152,Leaky,17,379,22,0.005492897147171906,1,0.12737014673282973,0.015572992465526247,1.4647107124328613,0.6739289164543152,0.18502217531204224,COMPLETE
391,0.7081630229949951,Leaky,66,472,23,0.006670220617928179,1,0.167849692763094,0.028589601442257837,1.57000732421875,0.7081630229949951,0.2650289535522461,COMPLETE
392,0.6622139811515808,Leaky,70,427,19,0.003865457841672231,1,0.11999262786934997,0.03261870505307134,1.4780421257019043,0.6622139811515808,0.19734418392181396,COMPLETE
393,0.6578859686851501,Leaky,64,408,21,0.00014253509708473012,1,0.11244162354497628,0.09776706680537496,1.5884727239608765,0.6578859686851501,0.24826586246490479,COMPLETE
394,0.6639821529388428,Leaky,48,499,20,0.0024622775834522936,1,0.10343180594999085,0.05998928733403659,1.5022269487380981,0.6639821529388428,0.23579806089401245,COMPLETE
395,0.6793296337127686,Leaky,84,233,22,0.0031194973553031486,1,0.24421501744130852,0.020192322117481978,2.2961480617523193,0.6793296337127686,0.32827430963516235,COMPLETE
396,0.6552134156227112,Leaky,67,150,8,0.005833819395062704,1,0.11497836255719014,0.02507378408511886,2.4062716960906982,0.6552134156227112,0.26307982206344604,COMPLETE
397,0.6398108601570129,Leaky,72,370,21,0.008293213809169078,1,0.10879644744157492,0.04090480514046485,2.673529624938965,0.6398108601570129,0.26147639751434326,COMPLETE
398,0.7004519701004028,Leaky,61,182,21,0.0038621234120370085,1,0.12215792050113666,0.01777239663432075,2.088651180267334,0.7004519701004028,0.191045880317688,COMPLETE
399,0.6635644435882568,Leaky,43,454,20,0.005159429557750287,1,0.10010036125149595,0.034038983563637666,1.5584001541137695,0.6635644435882568,0.1995617151260376,COMPLETE
400,0.7487193942070007,Leaky,68,418,21,0.07888138485357538,1,0.39715992516942455,0.08268842384881281,1.3781405687332153,0.7487193942070007,0.23161864280700684,COMPLETE
401,0.6240171790122986,Leaky,72,173,22,0.006784349979268721,1,0.11167798398382357,0.05144617333741609,2.538323163986206,0.6240171790122986,0.27352797985076904,COMPLETE
402,0.6507854461669922,Leaky,72,178,22,0.006699514941411584,1,0.1161983939826865,0.057775017109301045,1.574086308479309,0.6507854461669922,0.25429868698120117,COMPLETE
403,0.6490899324417114,Leaky,73,401,19,0.00465552690849477,1,0.11070731861147307,0.07059618161799462,1.7638286352157593,0.6490899324417114,0.26618248224258423,COMPLETE
404,0.6830593943595886,Leaky,70,165,21,0.009891095398959677,1,0.13697416454984268,0.05145982691201689,1.4451204538345337,0.6830593943595886,0.24118518829345703,COMPLETE
405,0.6253737211227417,Leaky,72,173,20,0.007680291304110221,1,0.2894687133439003,0.015497971106102829,5.087619304656982,0.6253737211227417,0.3610435128211975,COMPLETE
406,0.6647843718528748,Leaky,72,173,20,0.008550609911151754,1,0.12721737200658997,0.01505710420445012,1.5111212730407715,0.6647843718528748,0.1658163070678711,COMPLETE
407,0.679650068283081,Leaky,74,170,20,0.007276988637151858,1,0.24821048290314732,0.017565674752688047,2.134603977203369,0.679650068283081,0.3359551429748535,COMPLETE
408,0.6438083052635193,Leaky,69,163,19,0.006052803485495611,1,0.3076994850998726,0.013276725427314978,2.0499725341796875,0.6438083052635193,0.3501018285751343,COMPLETE
409,0.7406637072563171,Leaky,71,159,20,0.007583238283776215,1,0.17196064360070326,0.0004196932850358593,1.5643950700759888,0.7406637072563171,0.13136059045791626,COMPLETE
410,0.6399552226066589,Leaky,73,170,20,0.01037363552525873,1,0.2909459917993887,0.022672426048467826,3.2798402309417725,0.6399552226066589,0.34521013498306274,COMPLETE
411,0.6046398878097534,Leaky,76,134,21,0.006381220248741816,1,0.28834772897057026,0.0016876304632623686,21.33577537536621,0.6046398878097534,0.38105833530426025,COMPLETE
412,0.6496298909187317,Leaky,76,181,22,0.0048288856022349405,1,0.30753684174086177,0.00172961690458105,2.170464277267456,0.6496298909187317,0.3394225835800171,COMPLETE
413,0.6748445630073547,Leaky,71,139,23,0.005620860883373309,1,0.250610676010103,0.013706385858586813,4.417282581329346,0.6748445630073547,0.344637393951416,COMPLETE
414,0.6859984993934631,Leaky,59,130,21,0.00412491076415183,1,0.2578819125410385,0.0006382869491810213,1.6234004497528076,0.6859984993934631,0.32263457775115967,COMPLETE
415,0.6419317126274109,Leaky,63,133,22,0.006737294113356866,1,0.28447416579523405,0.002323711411942349,1.8975708484649658,0.6419317126274109,0.34131646156311035,COMPLETE
416,0.639724850654602,Leaky,69,146,21,0.0031127166740328805,1,0.2810778385081167,0.005354034848328647,1.6951663494110107,0.639724850654602,0.3462156653404236,COMPLETE
417,0.6114594340324402,Leaky,66,126,21,0.012577220827135974,1,0.299331803433677,0.00017842194387500987,2.7175824642181396,0.6114594340324402,0.3651694655418396,COMPLETE
418,0.5972802042961121,Leaky,67,108,22,0.006061981243225603,1,0.30679587601279545,0.0009065272653475614,2.7305002212524414,0.5972802042961121,0.39571666717529297,COMPLETE
419,0.6356058120727539,Leaky,66,110,23,0.004610923327711144,1,0.2785143841395427,0.0003992456593479278,1.6631615161895752,0.6356058120727539,0.34784138202667236,COMPLETE
