number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
244,0.6857364773750305,Tanh,Tanh,22,384,11,13.0,0.001661111736116938,2,0.23090091495036358,0.0005206989839638502,1.0266826152801514,0.3063071370124817,0.6857364773750305,COMPLETE
245,0.7998956441879272,Tanh,Tanh,21,376,11,13.0,0.0019478606324559605,2,0.774493654712325,0.0006671114654601652,0.8608359694480896,0.21789279580116272,0.7998956441879272,COMPLETE
246,0.80744868516922,Tanh,Tanh,25,382,11,13.0,0.0023719762477719163,2,0.7066974968636822,0.0003492071997950645,0.6934167742729187,0.22347107529640198,0.80744868516922,COMPLETE
247,0.47676610946655273,Sigmoid,Tanh,23,370,11,11.0,8.142121022660097e-05,2,0.7497433280557968,0.0005036137287213598,1.603434443473816,0.5668509006500244,0.47676610946655273,COMPLETE
248,0.8082539439201355,Tanh,Tanh,21,389,12,12.0,0.0015893953440285374,2,0.771960453722874,0.00028254423523388887,1.1468496322631836,0.20720040798187256,0.8082539439201355,COMPLETE
249,0.8069398999214172,Tanh,Tanh,27,395,10,14.0,0.0018572819553740582,2,0.7172560748005574,0.000421092642633659,0.7664496302604675,0.22106534242630005,0.8069398999214172,COMPLETE
250,0.7709039449691772,Tanh,Tanh,19,386,10,14.0,0.0022903818101170396,2,0.6037621738588654,0.0005899187436464063,0.8646529316902161,0.24140410125255585,0.7709039449691772,COMPLETE
251,0.7647706866264343,Tanh,,24,402,11,,0.0014980548913300148,1,0.5295089202457383,6.605031004225267e-05,0.8228261470794678,0.25079503655433655,0.7647706866264343,COMPLETE
252,0.8140348792076111,Tanh,Tanh,21,369,7,13.0,0.001876081148429043,2,0.7477259832674111,0.00014735469315488642,0.9122631549835205,0.20099207758903503,0.8140348792076111,COMPLETE
253,0.8197102546691895,Tanh,Tanh,20,382,11,12.0,0.0020524980328647164,2,0.7491991406350168,0.0001528657204545658,0.9287965893745422,0.19495759904384613,0.8197102546691895,COMPLETE
