number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
52,0.14825750887393951,2023-10-31 18:04:47.106330,2023-10-31 18:04:48.644084,0 days 00:00:01.537754,ReLU,ReLU,,100,17,20.0,,0.002486111524097066,2,467,0.45489826809201184,0.00011788961056238289,96.04260082367401,tensor(0.1483),tensor(0.8395),COMPLETE
53,0.16316549479961395,2023-10-31 18:04:48.644426,2023-10-31 18:04:50.806582,0 days 00:00:02.162156,ReLU,ReLU,,71,15,22.0,,0.00409051381045641,2,424,0.568145068209266,6.879670314585736e-05,91.57708445135152,tensor(0.1632),tensor(0.8302),COMPLETE
54,0.15093186497688293,2023-10-31 18:04:50.806949,2023-10-31 18:04:53.527529,0 days 00:00:02.720580,Tanh,ReLU,,76,18,16.0,,0.0013562197751016208,2,452,0.718688273498907,4.671507179875011e-05,75.15026809050974,tensor(0.1509),tensor(0.8670),COMPLETE
55,0.15607932209968567,2023-10-31 18:04:53.527880,2023-10-31 18:04:56.309848,0 days 00:00:02.781968,Tanh,ReLU,,69,20,19.0,,0.008423185439786478,2,500,0.620917335285132,0.00013088027630411419,83.32627049255372,tensor(0.1561),tensor(0.8405),COMPLETE
56,0.15392474830150604,2023-10-31 18:04:56.310223,2023-10-31 18:04:58.520860,0 days 00:00:02.210637,Leaky,Tanh,,60,16,23.0,,0.001024568628655579,2,419,0.5219734969572316,0.00024650179485943634,91.59414121131624,tensor(0.1539),tensor(0.8480),COMPLETE
57,0.14976206421852112,2023-10-31 18:04:58.521218,2023-10-31 18:05:00.350723,0 days 00:00:01.829505,ReLU,Leaky,,85,18,17.0,,0.0029669721686147723,2,479,0.45479814802773166,7.368953560068913e-05,85.87757532681205,tensor(0.1498),tensor(0.8251),COMPLETE
58,0.16949354112148285,2023-10-31 18:05:00.351067,2023-10-31 18:05:00.856377,0 days 00:00:00.505310,Tanh,ReLU,,78,15,20.0,,0.004416267987925169,2,99,0.5736836167410754,3.082424026272534e-05,98.60049492421777,tensor(0.1695),tensor(0.8324),COMPLETE
59,0.163926899433136,2023-10-31 18:05:00.856723,2023-10-31 18:05:03.515959,0 days 00:00:02.659236,Tanh,ReLU,,67,19,23.0,,0.0018306616641201316,2,452,0.6373630155181169,0.00013738388152062262,75.2667386046553,tensor(0.1639),tensor(0.8439),COMPLETE
60,0.14329418540000916,2023-10-31 18:05:03.516306,2023-10-31 18:05:07.272652,0 days 00:00:03.756346,Tanh,ReLU,,57,17,22.0,,0.0064714320372953405,2,482,0.771228877485643,4.172746755125157e-05,67.57403988660124,tensor(0.1433),tensor(0.8634),COMPLETE
61,0.14001406729221344,2023-10-31 18:05:07.273016,2023-10-31 18:05:11.157106,0 days 00:00:03.884090,Tanh,ReLU,,56,17,22.0,,0.007879773185156527,2,477,0.780617206345027,4.054471821048528e-05,73.83650441039784,tensor(0.1400),tensor(0.8649),COMPLETE
62,0.1354692131280899,2023-10-31 18:05:11.157451,2023-10-31 18:05:14.868319,0 days 00:00:03.710868,Tanh,ReLU,,57,17,21.0,,0.007240390183029995,2,459,0.7907736625922475,4.153719913341279e-05,64.1463207834946,tensor(0.1355),tensor(0.8692),COMPLETE
63,0.13306696712970734,2023-10-31 18:05:14.868688,2023-10-31 18:05:18.571492,0 days 00:00:03.702804,Tanh,ReLU,,56,20,21.0,,0.0073111134319074865,2,459,0.7932759578413925,2.6723212192277375e-05,71.66952751508725,tensor(0.1331),tensor(0.8712),COMPLETE
64,0.15077091753482819,2023-10-31 18:05:18.571875,2023-10-31 18:05:22.239270,0 days 00:00:03.667395,Tanh,Tanh,,56,21,19.0,,0.0072947515959422915,2,458,0.79832313829849,1.3554746969209584e-05,80.91212879830573,tensor(0.1508),tensor(0.8378),COMPLETE
65,0.13640309870243073,2023-10-31 18:05:22.239625,2023-10-31 18:05:25.859771,0 days 00:00:03.620146,Tanh,Leaky,,46,20,21.0,,0.010087312050954823,2,407,0.7611238093747742,3.216232722460169e-05,71.00850086071567,tensor(0.1364),tensor(0.8702),COMPLETE
66,0.14445340633392334,2023-10-31 18:05:25.860132,2023-10-31 18:05:27.103670,0 days 00:00:01.243538,Tanh,Leaky,,47,20,21.0,,0.014904781172872479,2,143,0.7492582203932028,2.5488329393141534e-05,81.20766208888767,tensor(0.1445),tensor(0.8635),COMPLETE
67,0.13433116674423218,2023-10-31 18:05:27.104024,2023-10-31 18:05:30.400548,0 days 00:00:03.296524,Leaky,Leaky,,63,14,20.0,,0.010237411326094405,2,471,0.769760774671534,1.4783631237629505e-05,61.477579574422975,tensor(0.1343),tensor(0.8736),COMPLETE
68,0.14020811021327972,2023-10-31 18:05:30.400910,2023-10-31 18:05:33.439161,0 days 00:00:03.038251,Leaky,Leaky,,58,11,20.0,,0.008800450518362785,2,408,0.7646811134117336,1.4053782422749656e-05,72.12674269021726,tensor(0.1402),tensor(0.8580),COMPLETE
69,0.16609609127044678,2023-10-31 18:05:33.439524,2023-10-31 18:05:36.575833,0 days 00:00:03.136309,Leaky,Leaky,,51,11,20.0,,0.008146797238036055,2,435,0.6930916015420733,1.5229238020438041e-05,94.22826462668934,tensor(0.1661),tensor(0.8416),COMPLETE
70,0.15554179251194,2023-10-31 18:05:36.576199,2023-10-31 18:05:39.371827,0 days 00:00:02.795628,Leaky,Leaky,,62,9,17.0,,0.011360711322451885,2,406,0.7636930807826898,2.5908600953562036e-05,76.9377026863286,tensor(0.1555),tensor(0.8523),COMPLETE
71,0.14040204882621765,2023-10-31 18:05:39.372162,2023-10-31 18:05:43.238859,0 days 00:00:03.866697,Leaky,Leaky,,47,13,22.0,,0.015092148544675037,2,446,0.7908436244263155,1.3853868331658168e-05,74.18509343066023,tensor(0.1404),tensor(0.8614),COMPLETE
72,0.15222910046577454,2023-10-31 18:05:43.239194,2023-10-31 18:05:46.653161,0 days 00:00:03.413967,Leaky,Leaky,,45,12,21.0,,0.009935657386664626,2,447,0.6736755002928126,1.3838760757853933e-05,71.32920261357455,tensor(0.1522),tensor(0.8498),COMPLETE
73,0.1354665607213974,2023-10-31 18:05:46.653497,2023-10-31 18:05:49.752199,0 days 00:00:03.098702,Leaky,Leaky,,58,13,20.0,,0.01527233742017015,2,415,0.7969682802324587,2.2207910826916303e-05,73.75784452507295,tensor(0.1355),tensor(0.8474),COMPLETE
74,0.15716759860515594,2023-10-31 18:05:49.752534,2023-10-31 18:05:52.249943,0 days 00:00:02.497409,Leaky,Leaky,,59,11,18.0,,0.02155719626786591,2,370,0.7104754361551724,2.1922656284789467e-05,96.89804512230126,tensor(0.1572),tensor(0.8444),COMPLETE
75,0.16516540944576263,2023-10-31 18:05:52.250292,2023-10-31 18:05:54.403503,0 days 00:00:02.153211,Leaky,Leaky,,63,14,20.0,,0.009601328102828374,2,344,0.663552746354377,2.9339809666556645e-05,74.32831211977226,tensor(0.1652),tensor(0.8272),COMPLETE
76,0.14428874850273132,2023-10-31 18:05:54.403837,2023-10-31 18:05:57.663581,0 days 00:00:03.259744,Leaky,Leaky,,51,10,19.0,,0.015116878543142455,2,413,0.750995766765745,1.8151306159256807e-05,76.05428824066827,tensor(0.1443),tensor(0.8490),COMPLETE
77,0.16404412686824799,2023-10-31 18:05:57.663954,2023-10-31 18:06:00.584785,0 days 00:00:02.920831,Leaky,Leaky,,58,23,12.0,,0.026820055172251195,2,429,0.7043210395044368,1.0485726711230724e-05,90.87607693616604,tensor(0.1640),tensor(0.8433),COMPLETE
78,0.14742228388786316,2023-10-31 18:06:00.585131,2023-10-31 18:06:03.567969,0 days 00:00:02.982838,Leaky,Leaky,,53,13,21.0,,0.005489977520711517,2,375,0.7942134970128761,2.6247377911052405e-05,71.07385998535156,tensor(0.1474),tensor(0.8547),COMPLETE
79,0.15322640538215637,2023-10-31 18:06:03.568318,2023-10-31 18:06:06.292281,0 days 00:00:02.723963,Leaky,Leaky,,64,12,18.0,,0.007373758134864824,2,463,0.6557462054861547,1.6440318080368175e-05,71.11194874246486,tensor(0.1532),tensor(0.8303),COMPLETE
80,0.15952938795089722,2023-10-31 18:06:06.292640,2023-10-31 18:06:09.329103,0 days 00:00:03.036463,Leaky,Leaky,,49,9,10.0,,0.009804498879394025,2,397,0.7374432968393118,3.326970322419763e-05,80.55631707717549,tensor(0.1595),tensor(0.8447),COMPLETE
81,0.13827913999557495,2023-10-31 18:06:09.329456,2023-10-31 18:06:13.060721,0 days 00:00:03.731265,Leaky,Leaky,,47,11,22.0,,0.015630415131813548,2,445,0.760519800959018,1.4524612022247355e-05,77.19080019318656,tensor(0.1383),tensor(0.8322),COMPLETE
82,0.15086236596107483,2023-10-31 18:06:13.061059,2023-10-31 18:06:16.379101,0 days 00:00:03.318042,Leaky,Leaky,,55,11,22.0,,0.013269568857825218,2,437,0.7597256810296146,2.023671675995063e-05,76.51910038998253,tensor(0.1509),tensor(0.8457),COMPLETE
83,0.15869523584842682,2023-10-31 18:06:16.379469,2023-10-31 18:06:19.766806,0 days 00:00:03.387337,Leaky,Leaky,,43,14,20.0,,0.017816228375502816,2,410,0.6975773347507536,1.2628813768062457e-05,83.14479088201756,tensor(0.1587),tensor(0.8476),COMPLETE
84,0.1413143277168274,2023-10-31 18:06:19.767175,2023-10-31 18:06:23.224733,0 days 00:00:03.457558,Leaky,Leaky,,59,13,21.0,,0.010930233755401347,2,457,0.7972380119393947,2.3064996286126546e-05,77.89551941518971,tensor(0.1413),tensor(0.8376),COMPLETE
85,0.15060372650623322,2023-10-31 18:06:23.225094,2023-10-31 18:06:26.437996,0 days 00:00:03.212902,Leaky,Leaky,,50,7,14.0,,0.006920357447782473,2,473,0.649088015342127,3.5125669796629374e-05,69.82544505016496,tensor(0.1506),tensor(0.8435),COMPLETE
86,0.1415027230978012,2023-10-31 18:06:26.438354,2023-10-31 18:06:29.852136,0 days 00:00:03.413782,Leaky,Tanh,,53,9,22.0,,0.004873271732476516,2,441,0.7470375127968134,1.5894211616345067e-05,74.00442062862335,tensor(0.1415),tensor(0.8668),COMPLETE
87,0.17072689533233643,2023-10-31 18:06:29.852479,2023-10-31 18:06:33.557614,0 days 00:00:03.705135,Sigmoid,Leaky,,40,10,20.0,,0.022246005124136242,2,421,0.6893502486733859,1.00693009718972e-05,123.18961442960979,tensor(0.1707),tensor(0.8391),COMPLETE
88,0.15467333793640137,2023-10-31 18:06:33.557977,2023-10-31 18:06:37.042311,0 days 00:00:03.484334,Tanh,Sigmoid,,61,22,19.0,,0.016739749885174397,2,495,0.7226513099232502,2.1020672726321747e-05,70.46488917957653,tensor(0.1547),tensor(0.8539),COMPLETE
89,0.1537490338087082,2023-10-31 18:06:37.042686,2023-10-31 18:06:38.691531,0 days 00:00:01.648845,Leaky,Leaky,,45,12,24.0,,0.030787706150242202,2,222,0.6222517782925298,2.962037587253729e-05,89.8334875020895,tensor(0.1537),tensor(0.8346),COMPLETE
90,0.17500115931034088,2023-10-31 18:06:38.691890,2023-10-31 18:06:42.928824,0 days 00:00:04.236934,Tanh,Leaky,,31,19,21.0,,0.0058937520158901914,2,393,0.6721196900947964,4.242143515566378e-05,87.26695381533402,tensor(0.1750),tensor(0.8304),COMPLETE
91,0.1307033896446228,2023-10-31 18:06:42.929181,2023-10-31 18:06:46.820592,0 days 00:00:03.891411,Leaky,Leaky,,48,13,22.0,,0.013585592380661348,2,444,0.7994058491014027,1.3583878817550306e-05,84.13197724454038,tensor(0.1307),tensor(0.8531),COMPLETE
92,0.13243301212787628,2023-10-31 18:06:46.820942,2023-10-31 18:06:50.213056,0 days 00:00:03.392114,Leaky,Leaky,,57,14,23.0,,0.012243061281096382,2,456,0.7679575189923807,1.5453080648582887e-05,63.74745285301878,tensor(0.1324),tensor(0.8641),COMPLETE
93,0.14295236766338348,2023-10-31 18:06:50.213397,2023-10-31 18:06:53.430526,0 days 00:00:03.217129,Leaky,Leaky,,55,14,23.0,,0.011829365376670982,2,457,0.719220587784096,1.6246623433485053e-05,76.98915034154312,tensor(0.1430),tensor(0.7721),COMPLETE
