number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
355,1.5758655071258545,Leaky,Tanh,,79,500,7,24.0,,0.03936677782615556,2,0.4665297222014435,0.008689689980131239,2.52254581451416,1.5758655071258545,-1.4594098329544067,COMPLETE
356,0.26335379481315613,Leaky,ReLU,,77,291,10,22.0,,0.029849366510406202,2,0.7721495117618886,0.0016131939270227287,1.202054500579834,0.26335379481315613,0.5852488875389099,COMPLETE
357,0.5994885563850403,Leaky,Sigmoid,,84,246,1,20.0,,0.012128690885171692,2,0.79877987397581,0.040228216884042906,1.2458492517471313,0.5994885563850403,0.08527598530054092,COMPLETE
358,1.6306970119476318,Leaky,Tanh,,75,267,13,20.0,,0.01899892899833812,2,0.2641678257748085,0.0003824926902818578,3.553560972213745,1.6306970119476318,-0.9577444195747375,COMPLETE
359,1.3554004430770874,Leaky,ReLU,,91,228,6,21.0,,0.02831317715632463,2,0.27971163270999544,0.005715913945106603,2.3808953762054443,1.3554004430770874,-0.3797268569469452,COMPLETE
360,0.2718886435031891,Leaky,Leaky,,71,384,12,19.0,,0.03525760365974346,2,0.7444688872955766,0.01944072548934392,2.7465837001800537,0.2718886435031891,0.6559217572212219,COMPLETE
361,1.3941640853881836,Leaky,ReLU,,97,357,8,22.0,,0.014651727825995128,2,0.3798625590781193,0.024350196327050853,1.436713457107544,1.3941640853881836,0.1046517863869667,COMPLETE
362,0.7803367376327515,Leaky,Tanh,,80,341,9,23.0,,0.003920426587473524,2,0.7216451445353548,0.002840692167928105,1.5207093954086304,0.7803367376327515,0.23685157299041748,COMPLETE
363,0.2606767416000366,Leaky,ReLU,,89,303,11,21.0,,0.003152503431251524,2,0.7996227386200288,0.013574747535369138,1.1677932739257812,0.2606767416000366,0.5977768898010254,COMPLETE
364,3.718907594680786,Sigmoid,Tanh,,86,324,7,18.0,,0.023363481154473825,2,0.21535452330727634,0.0037429500945984867,4.130745887756348,3.718907594680786,-0.7415682673454285,COMPLETE
365,0.23899796605110168,Leaky,Leaky,,78,400,6,19.0,,0.008938393245034126,2,0.7652983747211549,0.030939940572962732,1.0925074815750122,0.23899796605110168,0.7064538598060608,COMPLETE
366,1.0651426315307617,Leaky,ReLU,,76,278,23,24.0,,0.0186484595186953,2,0.6384137375291019,0.02619178274396569,1.3277065753936768,1.0651426315307617,0.2695794999599457,COMPLETE
