number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
67,0.3402685225009918,2023-10-30 13:46:03.916914,2023-10-30 13:46:04.370084,0 days 00:00:00.453170,Tanh,,53,16,,0.020735029325529435,1,450,0.47677120111920795,0.0003627192523192568,"tensor(0.3403, device='cuda:0')",COMPLETE
68,0.29572850465774536,2023-10-30 13:46:04.370461,2023-10-30 13:46:04.747602,0 days 00:00:00.377141,ReLU,Tanh,91,19,17.0,0.04351091204530204,2,406,0.6222254226826692,0.00025652934346004293,"tensor(0.2957, device='cuda:0')",COMPLETE
69,0.25202804803848267,2023-10-30 13:46:04.748001,2023-10-30 13:46:05.003423,0 days 00:00:00.255422,ReLU,Tanh,100,23,17.0,0.06421652315333393,2,408,0.6458513445897361,0.00015189335945792548,"tensor(0.2520, device='cuda:0')",COMPLETE
70,0.341584175825119,2023-10-30 13:46:05.003826,2023-10-30 13:46:05.188200,0 days 00:00:00.184374,ReLU,Leaky,100,23,16.0,0.07610904006600905,2,418,0.6551819009145874,0.000160285660655136,"tensor(0.3416, device='cuda:0')",COMPLETE
71,0.35172176361083984,2023-10-30 13:46:05.188614,2023-10-30 13:46:05.433802,0 days 00:00:00.245188,ReLU,Tanh,91,22,18.0,0.053428564530697935,2,365,0.6175593389442001,0.00010680232524657365,"tensor(0.3517, device='cuda:0')",COMPLETE
72,0.3528273105621338,2023-10-30 13:46:05.434178,2023-10-30 13:46:05.671244,0 days 00:00:00.237066,ReLU,Tanh,97,21,17.0,0.040701793107273926,2,393,0.7507204490416141,0.00024448122694948097,"tensor(0.3528, device='cuda:0')",COMPLETE
73,0.3860849142074585,2023-10-30 13:46:05.671649,2023-10-30 13:46:06.028211,0 days 00:00:00.356562,ReLU,Tanh,90,19,19.0,0.02946303585611797,2,401,0.5717202813437261,0.00016937280949554887,"tensor(0.3861, device='cuda:0')",COMPLETE
74,0.3490503430366516,2023-10-30 13:46:06.028607,2023-10-30 13:46:06.230179,0 days 00:00:00.201572,ReLU,Tanh,95,20,13.0,0.09575982421705583,2,429,0.7003896021426466,0.00011101319414042542,"tensor(0.3491, device='cuda:0')",COMPLETE
75,0.2861484885215759,2023-10-30 13:46:06.230559,2023-10-30 13:46:06.522280,0 days 00:00:00.291721,Leaky,Sigmoid,81,24,15.0,0.043760838598426235,2,470,0.606054501528749,7.415465701053358e-05,"tensor(0.2861, device='cuda:0')",COMPLETE
76,0.3642365336418152,2023-10-30 13:46:06.522670,2023-10-30 13:46:06.703483,0 days 00:00:00.180813,Leaky,Sigmoid,82,24,15.0,0.06126034854024924,2,464,0.5536040889399275,6.785042308904182e-05,"tensor(0.3642, device='cuda:0')",COMPLETE
77,0.2514113783836365,2023-10-30 13:46:06.703886,2023-10-30 13:46:07.276704,0 days 00:00:00.572818,Leaky,Sigmoid,73,23,14.0,0.025480643129299915,2,441,0.764141474702608,7.55578354581705e-05,"tensor(0.2514, device='cuda:0')",COMPLETE
78,0.4611036479473114,2023-10-30 13:46:07.277107,2023-10-30 13:46:07.532430,0 days 00:00:00.255323,Leaky,Sigmoid,73,23,16.0,0.038129716172040994,2,438,0.7586316145870928,7.33930401956735e-05,"tensor(0.4611, device='cuda:0')",COMPLETE
