number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
187,0.3172788918018341,ReLU,Tanh,37,492,22,20.0,0.02914473569507523,2,0.2938687755433715,0.0001325147126806865,0.5975459814071655,0.3172788918018341,0.6583144068717957,COMPLETE
188,0.20511238276958466,ReLU,Tanh,62,475,22,21.0,0.0440030993343631,2,0.6644629766754396,0.0006747840521670129,0.4762457311153412,0.20511238276958466,0.7773244976997375,COMPLETE
189,0.24129696190357208,ReLU,Tanh,62,478,23,21.0,0.09723335504590856,2,0.6419227579455274,0.0001268409190948668,0.9060266613960266,0.24129696190357208,0.7368894815444946,COMPLETE
190,0.27331483364105225,ReLU,Tanh,66,472,22,15.0,0.06468736112817605,2,0.5238108278371398,0.00011126445963239783,0.9132026433944702,0.27331483364105225,0.7199013829231262,COMPLETE
191,0.2079029530286789,ReLU,Tanh,58,465,21,22.0,0.04213860676672636,2,0.6756895420272135,0.0003356696732423689,0.5210831165313721,0.2079029530286789,0.7707940340042114,COMPLETE
192,0.2568700313568115,ReLU,Tanh,43,464,21,21.0,0.04595314413506816,2,0.4949289299233516,9.27238968412689e-05,0.7777519822120667,0.2568700313568115,0.6990855932235718,COMPLETE
193,0.22041039168834686,ReLU,Tanh,58,490,23,20.0,0.038087935560388475,2,0.6676432210693958,0.000340066016456619,0.724319338798523,0.22041039168834686,0.7554768323898315,COMPLETE
194,0.23424336314201355,ReLU,Tanh,39,479,21,22.0,0.0503527318067148,2,0.7263796636991716,0.00041209995422701243,1.1823843717575073,0.23424336314201355,0.7514101266860962,COMPLETE
195,0.22133903205394745,ReLU,Sigmoid,62,469,22,21.0,0.03309131229568012,2,0.6631943036569607,0.0007300067135450638,0.9737645983695984,0.22133903205394745,0.7766910791397095,COMPLETE
196,0.2503381073474884,Sigmoid,Tanh,60,458,22,22.0,0.06091965217105296,2,0.7183343647171103,0.0005177029652585978,0.8521991968154907,0.2503381073474884,0.7428130507469177,COMPLETE
197,0.23451150953769684,ReLU,Tanh,56,496,21,20.0,0.07727351597323176,2,0.7978068868542832,0.00016709626263273553,0.43888914585113525,0.23451150953769684,0.7288914322853088,COMPLETE
198,0.23343677818775177,ReLU,Tanh,64,483,20,23.0,0.04122108333600447,2,0.6287833602854018,0.0003011679154790677,0.6355471611022949,0.23343677818775177,0.7233906388282776,COMPLETE
199,0.2146657407283783,ReLU,Tanh,58,500,22,22.0,0.027076660225553287,2,0.6778311348540141,0.0004304722806549612,0.4566125273704529,0.2146657407283783,0.7598535418510437,COMPLETE
200,0.20644962787628174,ReLU,Tanh,55,412,23,21.0,0.05241159668378272,2,0.7463577526180999,0.0003415031012026938,0.5252634286880493,0.20644962787628174,0.7877823710441589,COMPLETE
201,0.22504214942455292,ReLU,Tanh,55,412,23,21.0,0.05277280066516359,2,0.7450483845700316,0.00032740429576339267,1.6368136405944824,0.22504214942455292,0.756752073764801,COMPLETE
202,0.2287980318069458,ReLU,Tanh,60,411,24,21.0,0.04540367364311558,2,0.7592422569867603,0.0003993880783464862,0.5677459239959717,0.2287980318069458,0.767543375492096,COMPLETE
203,0.20511317253112793,ReLU,Tanh,54,438,21,23.0,0.05732699428863035,2,0.707025085092123,0.0002500735481512258,9.267257690429688,0.20511317253112793,0.7683876156806946,COMPLETE
204,0.34285664558410645,ReLU,Tanh,54,436,21,23.0,0.06922208310156343,2,0.230634146147499,0.0002524414920096857,0.6132367849349976,0.34285664558410645,0.5449433326721191,COMPLETE
205,0.21130876243114471,ReLU,Tanh,52,473,20,23.0,0.05612700779441327,2,0.6938889138341746,0.00019940034716430294,0.6261781454086304,0.21130876243114471,0.7419065833091736,COMPLETE
206,0.26277169585227966,ReLU,Tanh,29,454,17,23.0,0.07941482714721194,2,0.6502788179368045,0.0004847986993993979,0.6474966406822205,0.26277169585227966,0.6848852634429932,COMPLETE
207,0.26320621371269226,ReLU,Tanh,57,466,21,21.0,0.000671290287055055,2,0.550574278518201,0.0003491618393214935,0.6423075199127197,0.26320621371269226,0.7532469034194946,COMPLETE
208,0.3453582525253296,ReLU,,58,438,19,,0.03563484940547535,1,0.18917698685919795,0.0006853576642314236,0.6218991279602051,0.3453582525253296,0.5749324560165405,COMPLETE
209,0.20687009394168854,ReLU,Tanh,61,477,20,20.0,0.05856581993385231,2,0.6777593631376903,0.0002698568475973755,0.8920210599899292,0.20687009394168854,0.7362667322158813,COMPLETE
210,0.22422319650650024,ReLU,Tanh,61,478,20,19.0,0.055954551655822964,2,0.7335482606432722,0.00022862080946982026,0.7633438110351562,0.22422319650650024,0.7244735956192017,COMPLETE
211,0.21261796355247498,ReLU,Tanh,63,483,20,20.0,0.07035747241396789,2,0.6804366886450983,0.0003026386095322881,0.48178187012672424,0.21261796355247498,0.7517634630203247,COMPLETE
212,0.19555510580539703,ReLU,Tanh,55,463,19,20.0,0.0458442471493721,2,0.7065301347632147,0.0002665174229040949,0.603299081325531,0.19555510580539703,0.772201657295227,COMPLETE
213,0.2090325504541397,ReLU,Tanh,56,464,19,20.0,0.03802208624560733,2,0.7148809741353943,0.0005092802247383506,0.8014727234840393,0.2090325504541397,0.7562977075576782,COMPLETE
214,0.21792984008789062,ReLU,Tanh,69,450,21,21.0,0.05015973855593471,2,0.6582369410295724,0.00036312096321319945,1.358759880065918,0.21792984008789062,0.7526422739028931,COMPLETE
215,0.21737328171730042,ReLU,Tanh,59,461,20,20.0,0.03245635621843378,2,0.7726099476781845,0.0002569369317206321,0.5257121920585632,0.21737328171730042,0.7844851016998291,COMPLETE
216,0.2265075296163559,ReLU,Tanh,61,475,19,19.0,0.04389994960616195,2,0.6299897633662218,0.00018818842043669923,0.5957155823707581,0.2265075296163559,0.7468289136886597,COMPLETE
217,0.35010117292404175,ReLU,Tanh,65,487,23,20.0,0.059981863211575684,2,0.14757674046139443,0.0006745778661970521,0.6135744452476501,0.35010117292404175,0.5696632266044617,COMPLETE
218,0.21304669976234436,ReLU,Tanh,54,470,21,20.0,0.04671219029764653,2,0.7130510551966494,0.0003731909737802734,0.8857237696647644,0.21304669976234436,0.7704433798789978,COMPLETE
219,0.23431070148944855,ReLU,Leaky,57,443,20,18.0,0.028140981973965,2,0.6009732318834841,0.00029228501360492327,0.5004796385765076,0.23431070148944855,0.7421321868896484,COMPLETE
220,0.2149089276790619,ReLU,Tanh,55,453,22,19.0,0.03551537378724686,2,0.6742691682748361,0.0004491438211540488,0.6024234294891357,0.2149089276790619,0.7574057579040527,COMPLETE
221,0.20883126556873322,ReLU,Tanh,52,394,18,22.0,0.06193472507612287,2,0.694468002188375,0.0002551712885475424,0.5518397092819214,0.20883126556873322,0.7848581075668335,COMPLETE
222,0.21867728233337402,ReLU,Tanh,51,396,18,23.0,0.06130523629871411,2,0.7401101120824106,0.0002102184211483025,0.6876122355461121,0.21867728233337402,0.6737276315689087,COMPLETE
223,0.20547090470790863,ReLU,Tanh,59,409,19,22.0,0.050052707217390614,2,0.6924418670116175,0.0002469622252161386,0.5348653793334961,0.20547090470790863,0.7534741759300232,COMPLETE
224,0.21914097666740417,Sigmoid,Tanh,59,410,19,21.0,0.05393348455018689,2,0.7076267963134608,0.00022770452360548564,1.6294000148773193,0.21914097666740417,0.7724292278289795,COMPLETE
225,0.3409617245197296,ReLU,Tanh,55,464,18,22.0,0.041914279332619944,2,0.27045473538300624,0.0002639501928649478,0.6126108765602112,0.3409617245197296,0.5672488808631897,COMPLETE
226,0.23070307075977325,ReLU,Tanh,57,140,19,21.0,0.06511244448070522,2,0.6485342490652142,0.00015884612565789788,0.989129364490509,0.23070307075977325,0.749172568321228,COMPLETE
227,0.30988258123397827,ReLU,Tanh,53,486,19,22.0,0.03749982090829276,2,0.2827639528346242,0.0003427494448208635,0.8049156665802002,0.30988258123397827,0.6558045148849487,COMPLETE
228,0.22275948524475098,ReLU,Tanh,60,418,20,20.0,0.04995355347142762,2,0.7541613480206341,0.0002913921556659078,0.5300148725509644,0.22275948524475098,0.7369034290313721,COMPLETE
229,0.24652862548828125,ReLU,Sigmoid,52,473,24,21.0,0.00021676670138616463,2,0.6758868151719645,0.00018699698708175112,0.543074369430542,0.24652862548828125,0.7639594078063965,COMPLETE
230,0.2183728814125061,ReLU,Tanh,57,437,18,22.0,0.032039418389790096,2,0.7161818432984643,0.0002447481943992861,0.7041730880737305,0.2183728814125061,0.7529963254928589,COMPLETE
231,0.20284561812877655,ReLU,Tanh,62,398,17,23.0,0.04789545187482026,2,0.692814524511987,0.0008409388561775108,0.6439447999000549,0.20284561812877655,0.7333731055259705,COMPLETE
232,0.23583278059959412,ReLU,Tanh,62,413,17,23.0,0.05912624780172721,2,0.6924087058052162,0.0003953096156680148,0.5493598580360413,0.23583278059959412,0.6899805068969727,COMPLETE
233,0.23285804688930511,ReLU,Tanh,59,402,18,22.0,0.04438656732133795,2,0.6557497092143307,0.00031474011605045607,0.5932236909866333,0.23285804688930511,0.7492461204528809,COMPLETE
234,0.21142391860485077,ReLU,Tanh,54,478,20,24.0,0.06840694554099852,2,0.735848681729664,0.0005347500772821127,0.7703085541725159,0.21142391860485077,0.7478162050247192,COMPLETE
235,0.20227855443954468,ReLU,Tanh,61,457,17,22.0,0.05127525590756581,2,0.6930075812266849,0.00021866651797432804,0.6516159772872925,0.20227855443954468,0.7563371062278748,COMPLETE
236,0.19767121970653534,ReLU,Tanh,61,459,17,23.0,0.03851970496238178,2,0.6689850635026209,0.00019681841959093342,0.7122602462768555,0.19767121970653534,0.7436177730560303,COMPLETE
237,0.22844651341438293,ReLU,Tanh,62,454,17,23.0,0.025456461883032803,2,0.632051774987449,0.00020036619171492218,0.48930808901786804,0.22844651341438293,0.7390150427818298,COMPLETE
238,0.30903512239456177,ReLU,Tanh,61,463,17,23.0,0.03895331557124154,2,0.3536895136668296,0.00016053380466573002,0.4938390552997589,0.30903512239456177,0.6571274995803833,COMPLETE
239,0.20710280537605286,ReLU,Tanh,59,451,17,24.0,0.051539922479555716,2,0.66519024889473,0.0006311799742857998,0.5601798892021179,0.20710280537605286,0.7593567967414856,COMPLETE
240,0.20653483271598816,ReLU,Tanh,66,445,17,24.0,0.032483591801851654,2,0.6695202133502345,0.000794170907083463,0.5070785880088806,0.20653483271598816,0.7786790728569031,COMPLETE
241,0.21107584238052368,ReLU,Tanh,67,444,17,24.0,0.031871236418143184,2,0.6724712338673511,0.0008228664719260791,0.6246601343154907,0.21107584238052368,0.7947378158569336,COMPLETE
242,0.21625930070877075,ReLU,Tanh,64,449,16,24.0,0.038238677174897616,2,0.6490688758117927,0.0006158011311808993,0.5017758011817932,0.21625930070877075,0.7704872488975525,COMPLETE
243,0.21437717974185944,ReLU,Tanh,59,431,17,24.0,0.05313255988555937,2,0.6660724625196507,0.0008959455073157156,0.5399255156517029,0.21437717974185944,0.7614027857780457,COMPLETE
244,0.30299389362335205,ReLU,Tanh,61,455,17,23.0,0.001461598239422995,2,0.44594243193221056,0.0007023951408110391,0.5179764628410339,0.30299389362335205,0.7071531414985657,COMPLETE
245,0.24279290437698364,ReLU,Tanh,63,421,16,24.0,0.01882999879099511,2,0.6317752593418591,0.000809547642707428,0.5526614785194397,0.24279290437698364,0.7322723865509033,COMPLETE
246,0.23393680155277252,ReLU,Tanh,65,442,17,24.0,0.02856038473751993,2,0.6118913189075328,0.0005303835173494014,0.44970446825027466,0.23393680155277252,0.7359946370124817,COMPLETE
247,0.19242243468761444,ReLU,Tanh,60,457,18,23.0,0.04131700976872944,2,0.6762280835048298,0.0006598764116071864,0.5099253058433533,0.19242243468761444,0.7964462041854858,COMPLETE
248,0.2114918977022171,ReLU,Tanh,60,436,18,23.0,0.050352053420692405,2,0.6930391255411372,0.0006612478865341629,0.5096816420555115,0.2114918977022171,0.7714245915412903,COMPLETE
249,0.23094505071640015,ReLU,Tanh,63,108,17,23.0,0.023733085980093764,2,0.7317105691536522,0.0008568470885519022,1.86442232131958,0.23094505071640015,0.772516131401062,COMPLETE
