number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
712,0.180273175239563,Sigmoid,Tanh,,94,274,14,19.0,,0.06456589125281896,2,0.6457616777473502,0.00025669884822283065,0.7039095163345337,0.180273175239563,0.8335410952568054,COMPLETE
713,0.2318890541791916,Sigmoid,Tanh,,92,259,15,22.0,,0.07196923020259735,2,0.43096764779343755,0.0003499151932403052,2.222768545150757,0.2318890541791916,0.7969990372657776,COMPLETE
714,0.14406493306159973,Sigmoid,Tanh,,89,242,13,17.0,,0.0995280797578914,2,0.6903156094591977,0.0002935865593276294,0.6980577707290649,0.14406493306159973,0.8676497936248779,COMPLETE
715,0.21991057693958282,Sigmoid,Tanh,,90,244,13,17.0,,0.06080181513190429,2,0.5472309648297669,0.0002923051671064934,6.664155006408691,0.21991057693958282,0.8098596930503845,COMPLETE
716,0.24768725037574768,Sigmoid,Tanh,,89,252,13,17.0,,0.09851985508919783,2,0.5685285560664484,0.00020174496081407005,1.5425550937652588,0.24768725037574768,0.784221351146698,COMPLETE
717,0.27447667717933655,Sigmoid,Tanh,,92,288,13,21.0,,0.05282158711911104,2,0.3270972712329424,0.0002666384692827843,1.381702184677124,0.27447667717933655,0.7614011168479919,COMPLETE
718,0.24334664642810822,Sigmoid,Tanh,,89,279,13,19.0,,0.00037657084131696944,2,0.6695908032414151,0.00039629410897423106,0.98529452085495,0.24334664642810822,0.7765892744064331,COMPLETE
719,0.2216533124446869,Sigmoid,Tanh,,38,294,12,18.0,,0.07603291042948603,2,0.519330906538241,0.0001723480456612678,2.501938819885254,0.2216533124446869,0.8046940565109253,COMPLETE
720,0.2117980569601059,Sigmoid,Tanh,,91,234,13,20.0,,0.0867383915517753,2,0.6007592102573774,0.00024242501375836069,0.9708781242370605,0.2117980569601059,0.8143026232719421,COMPLETE
721,0.2191157341003418,Sigmoid,Tanh,,96,268,12,18.0,,0.0993259178852359,2,0.6936549006173183,0.0003217441685426673,1.2802640199661255,0.2191157341003418,0.7982316613197327,COMPLETE
722,0.2627027928829193,Sigmoid,Tanh,,93,282,14,19.0,,0.06575712512198811,2,0.4798333360748709,0.0004613669798749709,1.544113278388977,0.2627027928829193,0.767541229724884,COMPLETE
723,0.20592468976974487,Sigmoid,Tanh,,95,291,13,18.0,,0.05076731514993936,2,0.42455608417536506,0.0006095495949417907,4.440624713897705,0.20592468976974487,0.8218626976013184,COMPLETE
724,0.16256099939346313,Sigmoid,Tanh,,91,305,12,17.0,,0.07275113933534696,2,0.663574314309438,0.0003874726065890057,0.6183826327323914,0.16256099939346313,0.8526864051818848,COMPLETE
725,0.17971958220005035,Sigmoid,Tanh,,89,303,12,17.0,,0.09990412854464445,2,0.6397717949200138,0.00041849908628235736,0.7147468328475952,0.17971958220005035,0.8376200199127197,COMPLETE
726,0.19161316752433777,Sigmoid,Tanh,,91,307,12,20.0,,0.07545389127125927,2,0.6337574993338861,0.00048627257617654164,0.7087288498878479,0.19161316752433777,0.8260613679885864,COMPLETE
727,0.2146017849445343,Sigmoid,Tanh,,96,298,12,17.0,,0.08119353380459675,2,0.5032360091595424,0.0005449368675490944,0.9648478031158447,0.2146017849445343,0.8119223713874817,COMPLETE
728,0.1612936109304428,Sigmoid,Tanh,,94,263,13,19.0,,0.050779741098662914,2,0.6695935590680575,0.00030486287941827603,0.6576346158981323,0.1612936109304428,0.8519201874732971,COMPLETE
