number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
41,0.15595877170562744,2023-10-31 17:47:06.815944,2023-10-31 17:47:07.164802,0 days 00:00:00.348858,Tanh,Leaky,Tanh,41,22,22.0,21.0,0.02403834219163662,3,128,0.7051571588235512,4.055619625702471e-05,82.05630345498362,tensor(0.1560),tensor(0.8536),COMPLETE
42,0.15635386109352112,2023-10-31 17:47:07.165186,2023-10-31 17:47:07.526339,0 days 00:00:00.361153,Tanh,Leaky,Tanh,35,22,22.0,20.0,0.012889841658169407,3,101,0.7265130938258424,0.00010280377671562705,65.47493921007428,tensor(0.1564),tensor(0.8449),COMPLETE
43,0.1858784705400467,2023-10-31 17:47:07.526728,2023-10-31 17:47:07.884715,0 days 00:00:00.357987,Tanh,Leaky,Tanh,41,20,19.0,14.0,0.007367341179129363,3,138,0.6208089850346071,0.00014977316706971583,127.61010975307889,tensor(0.1859),tensor(0.8278),COMPLETE
44,0.15690197050571442,2023-10-31 17:47:07.885092,2023-10-31 17:47:08.358183,0 days 00:00:00.473091,Tanh,Leaky,Tanh,49,16,22.0,21.0,0.024141059527795404,3,80,0.7858004819075486,4.797433693803335e-05,67.26026034884983,tensor(0.1569),tensor(0.8434),COMPLETE
45,0.1430298388004303,2023-10-31 17:47:08.358566,2023-10-31 17:47:08.638037,0 days 00:00:00.279471,ReLU,ReLU,Tanh,59,23,22.0,16.0,0.013545820640424318,3,187,0.7051804650229941,0.0002887422056765889,75.49598014354706,tensor(0.1430),tensor(0.8599),COMPLETE
46,0.21355649828910828,2023-10-31 17:47:08.638414,2023-10-31 17:47:08.912188,0 days 00:00:00.273774,ReLU,ReLU,ReLU,62,24,19.0,13.0,0.006359196186958341,3,227,0.6081532590965653,0.0011089384364896056,157.97588289701022,tensor(0.2136),tensor(0.8040),COMPLETE
47,0.17793287336826324,2023-10-31 17:47:08.912556,2023-10-31 17:47:09.283251,0 days 00:00:00.370695,ReLU,ReLU,Tanh,54,18,22.0,16.0,0.01159071493901903,3,187,0.5374084964331056,0.00021015675693862918,127.3780391399677,tensor(0.1779),tensor(0.8422),COMPLETE
48,0.18255065381526947,2023-10-31 17:47:09.283632,2023-10-31 17:47:09.690264,0 days 00:00:00.406632,ReLU,ReLU,,59,15,20.0,,0.009093292305338023,2,258,0.7993026724610219,0.0006901128268482918,71.76769623101926,tensor(0.1826),tensor(0.8411),COMPLETE
49,0.14280514419078827,2023-10-31 17:47:09.690634,2023-10-31 17:47:10.495745,0 days 00:00:00.805111,ReLU,ReLU,Tanh,28,23,17.0,10.0,0.013922346619042996,3,356,0.6751767414042088,0.001781858545125016,84.21690539656014,tensor(0.1428),tensor(0.8695),COMPLETE
50,0.15650857985019684,2023-10-31 17:47:10.496130,2023-10-31 17:47:11.248154,0 days 00:00:00.752024,ReLU,ReLU,Tanh,19,23,17.0,10.0,0.015054881936678097,3,350,0.7248517746885087,0.001495166465562029,76.20118384891086,tensor(0.1565),tensor(0.8459),COMPLETE
51,0.17110784351825714,2023-10-31 17:47:11.248534,2023-10-31 17:47:11.979701,0 days 00:00:00.731167,ReLU,ReLU,Tanh,27,20,22.0,8.0,0.004888741840312505,3,426,0.6460452527607936,0.00029613547634966246,71.07079833408572,tensor(0.1711),tensor(0.8394),COMPLETE
52,0.20376253128051758,2023-10-31 17:47:11.980110,2023-10-31 17:47:12.388042,0 days 00:00:00.407932,ReLU,ReLU,Tanh,32,22,17.0,17.0,0.027209695836944683,3,359,0.583199238893396,0.0017627312561236752,121.96679378200221,tensor(0.2038),tensor(0.8003),COMPLETE
53,0.14811183512210846,2023-10-31 17:47:12.388404,2023-10-31 17:47:12.989934,0 days 00:00:00.601530,ReLU,ReLU,Tanh,46,23,20.0,15.0,0.008142859127208113,3,225,0.7212536478926908,0.0004185451610181575,62.50558376312256,tensor(0.1481),tensor(0.8598),COMPLETE
54,0.15228049457073212,2023-10-31 17:47:12.990330,2023-10-31 17:47:13.411552,0 days 00:00:00.421222,ReLU,ReLU,Tanh,45,24,18.0,12.0,0.009852104927723336,3,281,0.7360398731484759,0.00043538923288023685,72.48705472946168,tensor(0.1523),tensor(0.8602),COMPLETE
55,0.18998652696609497,2023-10-31 17:47:13.411920,2023-10-31 17:47:13.682819,0 days 00:00:00.270899,ReLU,ReLU,Tanh,53,23,20.0,14.0,0.017138809557106956,3,216,0.4815665682385083,0.0009120097353124835,229.0058880760556,tensor(0.1900),tensor(0.8177),COMPLETE
56,0.18412768840789795,2023-10-31 17:47:13.683210,2023-10-31 17:47:14.064209,0 days 00:00:00.380999,ReLU,ReLU,ReLU,65,23,18.0,10.0,0.007478239775778955,3,189,0.5475251898466871,0.0007482860314373138,170.34933229476687,tensor(0.1841),tensor(0.8384),COMPLETE
