number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
92,0.2677667438983917,2023-10-30 14:29:34.772025,2023-10-30 14:29:36.683368,0 days 00:00:01.911343,ReLU,Tanh,70,13,15.0,0.01,2,200,0.8,0.001,"tensor(0.2678, device='cuda:0')",COMPLETE
93,0.5984175801277161,2023-10-30 14:29:36.683762,2023-10-30 14:29:38.597723,0 days 00:00:01.913961,ReLU,Tanh,70,12,2.0,0.01,2,200,0.8,0.001,"tensor(0.5984, device='cuda:0')",COMPLETE
94,0.4065893888473511,2023-10-30 14:29:38.598120,2023-10-30 14:29:39.569845,0 days 00:00:00.971725,ReLU,Tanh,70,10,15.0,0.01,2,100,0.8,0.001,"tensor(0.4066, device='cuda:0')",COMPLETE
95,0.24338696897029877,2023-10-30 14:29:39.570236,2023-10-30 14:29:41.487079,0 days 00:00:01.916843,ReLU,Tanh,70,13,6.0,0.01,2,200,0.8,0.001,"tensor(0.2434, device='cuda:0')",COMPLETE
96,0.5571014881134033,2023-10-30 14:29:41.487486,2023-10-30 14:29:43.873020,0 days 00:00:02.385534,ReLU,Tanh,70,13,2.0,0.01,2,250,0.8,0.001,"tensor(0.5571, device='cuda:0')",COMPLETE
97,0.3856581449508667,2023-10-30 14:29:43.873410,2023-10-30 14:29:45.315338,0 days 00:00:01.441928,ReLU,Tanh,70,11,3.0,0.01,2,150,0.8,0.001,"tensor(0.3857, device='cuda:0')",COMPLETE
98,0.3495648205280304,2023-10-30 14:29:45.315739,2023-10-30 14:29:47.232411,0 days 00:00:01.916672,ReLU,Leaky,70,10,6.0,0.1,2,200,0.8,0.001,"tensor(0.3496, device='cuda:0')",COMPLETE
99,0.4108421802520752,2023-10-30 14:29:47.232811,2023-10-30 14:29:49.546292,0 days 00:00:02.313481,ReLU,,70,12,,0.01,1,350,0.6,0.01,"tensor(0.4108, device='cuda:0')",COMPLETE
100,0.3156016170978546,2023-10-30 14:29:49.546690,2023-10-30 14:29:51.465771,0 days 00:00:01.919081,ReLU,Tanh,70,13,6.0,0.01,2,200,0.8,0.001,"tensor(0.3156, device='cuda:0')",COMPLETE
101,0.3225983679294586,2023-10-30 14:29:51.466169,2023-10-30 14:29:53.387111,0 days 00:00:01.920942,ReLU,Tanh,70,16,16.0,0.01,2,200,0.8,0.001,"tensor(0.3226, device='cuda:0')",COMPLETE
102,0.3118399679660797,2023-10-30 14:29:53.387515,2023-10-30 14:29:55.515610,0 days 00:00:02.128095,ReLU,Tanh,60,14,7.0,0.01,2,200,0.8,0.001,"tensor(0.3118, device='cuda:0')",COMPLETE
103,0.6123206615447998,2023-10-30 14:29:55.516017,2023-10-30 14:29:57.272442,0 days 00:00:01.756425,Leaky,Tanh,80,15,1.0,0.01,2,200,0.8,0.001,"tensor(0.6123, device='cuda:0')",COMPLETE
104,0.9211423397064209,2023-10-30 14:29:57.272852,2023-10-30 14:30:00.162191,0 days 00:00:02.889339,ReLU,Tanh,40,11,17.0,1e-05,2,200,0.8,0.001,"tensor(0.9211, device='cuda:0')",COMPLETE
105,0.24781137704849243,2023-10-30 14:30:00.162643,2023-10-30 14:30:02.041194,0 days 00:00:01.878551,ReLU,Tanh,70,12,15.0,0.01,2,200,0.8,0.001,"tensor(0.2478, device='cuda:0')",COMPLETE
106,0.38358163833618164,2023-10-30 14:30:02.041648,2023-10-30 14:30:02.606800,0 days 00:00:00.565152,ReLU,ReLU,70,12,18.0,0.01,2,200,0.2,0.001,"tensor(0.3836, device='cuda:0')",COMPLETE
107,0.509541392326355,2023-10-30 14:30:02.607198,2023-10-30 14:30:04.524796,0 days 00:00:01.917598,ReLU,Tanh,70,13,5.0,0.01,2,200,0.8,0.001,"tensor(0.5095, device='cuda:0')",COMPLETE
108,0.3498576283454895,2023-10-30 14:30:04.525185,2023-10-30 14:30:06.257839,0 days 00:00:01.732654,ReLU,Tanh,70,14,15.0,0.001,2,450,0.3,1e-05,"tensor(0.3499, device='cuda:0')",COMPLETE
109,0.9152810573577881,2023-10-30 14:30:06.258254,2023-10-30 14:30:06.698089,0 days 00:00:00.439835,ReLU,Sigmoid,70,2,16.0,0.0001,2,50,0.7,0.001,"tensor(0.9153, device='cuda:0')",COMPLETE
110,0.579250693321228,2023-10-30 14:30:06.698495,2023-10-30 14:30:08.607499,0 days 00:00:01.909004,ReLU,Tanh,70,12,15.0,0.01,2,200,0.8,0.001,"tensor(0.5793, device='cuda:0')",COMPLETE
111,0.31070148944854736,2023-10-30 14:30:08.607898,2023-10-30 14:30:10.116549,0 days 00:00:01.508651,ReLU,Tanh,100,18,13.0,0.01,2,200,0.8,0.001,"tensor(0.3107, device='cuda:0')",COMPLETE
112,0.2679661810398102,2023-10-30 14:30:10.116978,2023-10-30 14:30:11.711097,0 days 00:00:01.594119,Sigmoid,Tanh,90,17,14.0,0.01,2,200,0.8,0.001,"tensor(0.2680, device='cuda:0')",COMPLETE
113,0.3249913454055786,2023-10-30 14:30:11.711494,2023-10-30 14:30:16.927958,0 days 00:00:05.216464,Sigmoid,Tanh,20,9,16.0,0.01,2,200,0.8,0.001,"tensor(0.3250, device='cuda:0')",COMPLETE
114,0.4275250732898712,2023-10-30 14:30:16.928387,2023-10-30 14:30:17.204039,0 days 00:00:00.275652,Sigmoid,Tanh,100,13,14.0,0.01,2,200,0.1,0.0001,"tensor(0.4275, device='cuda:0')",COMPLETE
115,0.2979518175125122,2023-10-30 14:30:17.204452,2023-10-30 14:30:20.625378,0 days 00:00:03.420926,Sigmoid,Tanh,90,16,12.0,0.01,2,500,0.7,0.001,"tensor(0.2980, device='cuda:0')",COMPLETE
116,0.22925038635730743,2023-10-30 14:30:20.625774,2023-10-30 14:30:23.936646,0 days 00:00:03.310872,Sigmoid,Tanh,70,8,3.0,0.01,2,350,0.8,0.001,"tensor(0.2293, device='cuda:0')",COMPLETE
