Id, Name, Cites, Documents
57203414531,  Vaz Lívia Elisabeth Vasconcellos de Siqueira Brandão, 1, 1
57200584582, Li Xiao-Li, 1, 1
57218759131,  Shen Yi, 80, 2
57193681982,  Hu Fei, 80, 2
57223408943,  Zhang Xiu-Xiu, 1, 1
56536249700,  Thakur Kiran, 80, 2
57574957600,  Rengasamy Kannan R.R., 1, 1
32867808100,  Khan Mohammad Rizwan, 1, 1
6603147379,  Busquets Rosa, 1, 1
15756413800,  Wei Zhao-Jun, 80, 2
57221953062, Zhang Ke, 1, 1
57208649604,  Chen Qing, 1, 1
56707915200,  Xiao Jie, 132, 4
25229289000,  You Lijun, 1, 1
55248366500,  Zhu Siming, 1, 1
56320932500,  Li Chao, 21, 2
35232994300,  Fu Xiong, 21, 2
57197755625, Elsabagh Rasha, 1, 1
16637140400,  Ibrahim Samar S., 1, 1
57304502600,  Abd-Elaaty Elsayed M., 1, 1
56955067800,  Abdeen Ahmed, 1, 1
36835350000,  Rayan Ahmed M., 1, 1
56393784400,  Ibrahim Samah F., 1, 1
55750849900,  Abdo Mohamed, 1, 1
36815943600,  Imbrea Florin, 1, 1
56951059600,  Şmuleac Laura, 1, 1
57941609900,  El-Sayed Amal M., 1, 1
58158289400,  Abd Elghaffar Rasha Y., 1, 1
56063510600,  Morsy Mohamed K., 11, 2
57222638380, Yu Xuepeng, 2, 1
57195679332,  Liu Qing, 2, 1
57218571580,  Jin Zhengyu, 2, 1
55206719100,  Jiao Aiquan, 2, 1
57714961200, Jafari Roya, 4, 1
56521251900,  Zandi Mohsen, 11, 2
31667500700,  Ganjloo Ali, 11, 2
58175421600, Izzi Yanina Soledad, 1, 1
7005041365,  Gerschenson Lía Noemí, 1125, 5
7003304193,  Jagus Rosa Juana, 7, 2
55352849400,  Ollé Resa Carolina Patricia, 1, 1
55234809100, Lin Lin, 164, 3
57867959500,  Mei Canchao, 1, 1
57705442500,  Shi Ce, 1, 1
55889320700,  Li Changzhu, 1, 1
36865953000,  Abdel-Samie Mohamed A., 1, 1
55311816300,  Cui Haiying, 164, 3
57222998038, Abd El-Ghany Nahed A., 0, 1
56703238400,  Abu Elella Mahmoud H., 0, 1
16047969000,  Nikolac Gabaj Nora, 0, 1
12345288300,  Vujić Lovorka, 0, 1
16316080000,  Krisch Judit, 0, 1
35196518500,  Miler Marijana, 0, 1
7005731745,  Štefanović Mario, 0, 1
58363543000, Yang Tingting, 0, 1
57220778461,  Yang Jing, 0, 1
58079319400,  Yuan Ziyou, 0, 1
57208274374,  Zhao Qiong, 0, 1
57222992406,  Yang Kun, 0, 1
37047172200,  Huang Aixiang, 0, 1
57796171300, Sutharsan Jenani, 7, 3
10339815000,  Boyer Cyrille Andre, 4, 2
57226861171,  Zhao Jian, 7, 3
57208902455, Chou Ming-Yu, 1, 1
6602995816,  Osako Kazufumi, 155, 6
37027817600,  Lee Tan-Ang, 1, 1
35338459800,  Wang Ming-Fu, 1, 1
37047379900,  Lu Wen-Chien, 1, 1
58126097500,  Wu Wei-Jun, 1, 1
16424498600,  Huang Ping-Hsiu, 1, 1
55495071500,  Li Po-Hsien, 1, 1
57141533700,  Ho Jou-Hsuan, 1, 1
54586100000, Venkatachalam Karthikeyan, 48, 2
37114764800,  Rakkapao Natthida, 2, 1
56902535200,  Lekjing Somwang, 48, 2
57734468800, Wang Meng, 2, 1
56222918000,  Li Yun-Cheng, 2, 1
55978950600,  Meng Fan-Bing, 2, 1
58179220500,  Wang Qiao, 2, 1
14064134300,  Wang Zheng-Wu, 2, 1
55556224300,  Liu Da-Yu, 25, 3
57219489360, Kaynarca Gülce Bedis, 2, 1
57204819940,  Kamer Deniz Damla Altan, 2, 1
6602223026,  Gumus Tuncay, 2, 1
6701802186,  Sagdıc Osman, 2, 1
58450893000, Rahma Rizka Aulia, 1, 1
56287727100,  Putri Widya Dwi Rukmi, 1, 1
58452291200,  Megatri Atanasia Adventina, 1, 1
57132567900,  Nur Mokhamad, 1, 1
57194546694,  Mubarok Ahmad Zaki, 1, 1
57911511500, Bozkurt Semra, 0, 1
57222475994,  Altay Özgül, 0, 1
57802599900,  Alemdar Filiz, 0, 1
7007151877,  Türker Mustafa, 0, 1
35332365900,  Koç Mehmet, 0, 1
6603319541,  Kaymak-Ertekin Figen, 0, 1
55628786800, Lin Xue, 25, 1
57705737300,  Chen Sijun, 25, 1
57224823803,  Wang Ruimin, 25, 1
43661308800,  Li Congfa, 25, 1
57188700840,  Wang Lu, 25, 1
57263801100, Dong Yitong, 4, 1
57263619600,  Rao Zhilu, 4, 1
57219873650,  Liu Yanchun, 9, 2
8721679400,  Zheng Xuejing, 146, 4
55748534000,  Tang Keyong, 146, 4
56145985800,  Liu Jie, 146, 4
58344818100, Islk Isllay, 0, 1
57218557735,  Yenipazar Hande, 0, 1
56340396500,  Saygun Ayse, 0, 1
8639058800,  Sahin Yesilcubuk Nese, 0, 1
57219377557,  Ozkan Zayim Esra, 0, 1
6603469640,  Catalgil Giz Huceste, 0, 1
57958424300, Toniciolli Rigueto Cesar Vinicius, 15, 1
57957070900,  Wohlmuth Daniela Alexia Raber, 15, 1
57958424400,  Ferreira Menezes Juliana, 15, 1
8385757800,  Pizzutti Ionara Regina, 15, 1
57224456074, Goiana Mayara Lima, 0, 1
56383538000,  Mattos Adriano Lincoln Albuquerque, 0, 1
6506171108,  de Azeredo Henriette Monteiro Cordeiro, 409, 5
57222997738,  de Freitas Rosa Morsyleide, 0, 1
9248904100,  Fernandes Fabiano André Narciso, 0, 1
57204669222, Hamann Daniele, 9, 1
56305655300,  Puton Bruna Maria Saorin, 9, 1
57221222938,  Comin Thais, 9, 1
35321954500,  Colet Rosicler, 9, 1
23490413300,  Valduga Eunice, 9, 1
35323468700,  Zeni Jamile, 9, 1
22036040400,  Steffens Juliana, 9, 1
18434067000,  Junges Alexander, 9, 1
56818824300,  Backes Geciane Toniazzo, 9, 1
6508243348,  Cansian Rogério Luis, 9, 1
57211790361, Zeng Fansen, 7, 1
57211793392,  Ye Yanqi, 7, 1
57015683100,  Liu Jingna, 7, 1
55432810500,  Fei Peng, 26, 2
57480719400, Gopalakrishnan Krishna, 0, 1
57203510585,  Mishra Poonam, 0, 1
58074095300, Wu Yumeng, 0, 1
58075154000,  Wu Haonan, 0, 1
11339073900,  Hu Liandong, 0, 1
58107091100, Choi Jieun, 0, 1
57201030999,  Lee Jung-Soo, 0, 1
57190565078, Hasanin Mohamed, 3, 1
57191040850,  Abdel Kader Amal H., 3, 1
58189807100,  Abd El-Sayed Essam S., 3, 1
7005536085,  Kamel Samir, 3, 1
57386988500, Pavlátková Lucie, 8, 1
24554445400,  Sedlaříková Jana, 8, 1
25923030200,  Pleva Pavel, 8, 1
57223692843,  Peer Petra, 8, 1
57195265269,  Uysal-Unalan Ilke, 28, 2
57698303400,  Janalíková Magda, 8, 1
57220805006, Pan Qingyan, 5, 1
57171208400,  Zhou Chuang, 5, 1
35220910000,  Yang Ziming, 5, 1
57201845856,  Wang Chao, 5, 1
56489043500,  He Zuyu, 5, 1
57402256600,  Liu Yunhao, 5, 1
57220788163,  Song Shuhui, 5, 1
57864805700,  Chen Yu, 5, 1
35220808300,  Xie Mubiao, 5, 1
7404773562,  Li Puwang, 5, 1
35730403400, Mulla Mehrajfatema Z., 0, 1
35584964500,  Ahmed Jasim, 0, 1
57224286784,  Vahora Aateka, 0, 1
57117830200,  Pathania Shivani, 0, 1
58252036100, Gomes Bianca Almada Ferreira, 1, 1
57224164171,  Alexandre Ana Cláudia Silveira, 1, 1
57207986954,  de Andrade Guilherme Antônio Vieira, 1, 1
58251187900,  Zanzini Alice Pereira, 1, 1
57218212347,  de Barros Hanna Elisia Araújo, 1, 1
58251820700,  Ferraz e Silva Lara Maria dos Santos, 1, 1
58145662700,  Costa Paula Aparecida, 1, 1
15049210500,  Boas Eduardo Valério de Barros Vilas, 1, 1
8673641900, Wang Yajuan, 0, 1
58210135500,  Jiang Shuting, 0, 1
58209115300,  Chen Yue, 0, 1
36807588400,  Qiu Dan, 0, 1
35729556400,  Weng Yunxuan, 0, 1
57194579330, Mirhosseini M., 0, 1
57188694593,  Afzali M., 0, 1
58141951400,  Ghotbuddini S. Qasemabadi, 0, 1
56626018300, Abd-Alhadi Rafan, 0, 1
56085343800,  Abou-Ghorrah Sayah, 0, 1
58243407800,  Al Oklah Bassam, 0, 1
57212554430, Xiang Ning, 12, 1
56115572100,  Yao Ya, 12, 1
57211466821,  Yuen John S.K., 12, 1
57211473167,  Stout Andrew J., 12, 1
56061306200,  Fennelly Colin, 12, 1
57194510320,  Sylvia Ryan, 12, 1
8756797000,  Schnitzler Aletta, 12, 1
57792347600,  Wong Shou, 12, 1
56446221300,  Kaplan David L., 12, 1
57454142400, Sørbø Simen, 1, 1
8689177800,  Lerfall Jørgen, 1, 1
37097911500, Salem Mohamed F., 21, 1
57575727700,  Abd-Elraoof Wessam A., 21, 1
6504387931,  Tayel Ahmed A., 50, 2
57133004100,  Alzuaibr Fahad M., 21, 1
57575934300,  Abonama Osama M., 21, 1
26635907400, Sayyari Mohammad, 1, 1
15044460500,  Esna-Ashari Mahmood, 1, 1
57669145900,  Tarighi Taherea Hassan, 1, 1
56538325700, Karthik C., 5, 1
57212209635,  Caroline D.G., 5, 1
56764686300,  Pandi Prabha S., 5, 1
57210319737, Erken İlker, 4, 1
57679752500, Gaba Abdul Basit M., 10, 1
55927365600,  Hassan Mohamed A., 10, 1
57021656200,  Abd El-Tawab Ashraf A., 10, 1
56177488000,  Abdelmonem Mohamed A., 10, 1
