number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
64,0.4779842495918274,2023-09-05 14:20:14.206842,2023-09-05 14:20:23.360768,0 days 00:00:09.153926,ReLU,Leaky,Tanh,,36,23,1.0,4.0,,0.00024807636032479074,3,305,0.4543685552627128,8.87523410456722e-05,146.9260506801918,COMPLETE
65,0.3425042927265167,2023-09-05 14:20:23.361052,2023-09-05 14:20:25.269311,0 days 00:00:01.908259,Sigmoid,Tanh,Leaky,Leaky,50,21,6.0,11.0,24.0,0.0022401155118188607,4,283,0.559190475846119,6.521838568519255e-05,145.38037327357702,COMPLETE
66,0.30657678842544556,2023-09-05 14:20:25.269590,2023-09-05 14:20:33.560729,0 days 00:00:08.291139,Leaky,Sigmoid,Tanh,,57,18,10.0,7.0,,0.0005605069417683559,3,333,0.666000673539398,2.819275486962297e-05,448.9715196305925,COMPLETE
67,0.28320690989494324,2023-09-05 14:20:33.561008,2023-09-05 14:20:37.163143,0 days 00:00:03.602135,ReLU,Leaky,ReLU,,43,19,18.0,13.0,,0.000895428829037285,3,253,0.5198719206924914,4.243344317159815e-05,94.43304183456924,COMPLETE
68,0.29864761233329773,2023-09-05 14:20:37.163422,2023-09-05 14:20:40.377034,0 days 00:00:03.213612,ReLU,Tanh,ReLU,,43,19,18.0,13.0,,0.00040184989579217386,3,219,0.5983307770005677,3.7834460436797004e-05,100.36585109544836,COMPLETE
69,0.3157324492931366,2023-09-05 14:20:40.377326,2023-09-05 14:20:44.587873,0 days 00:00:04.210547,Tanh,Leaky,ReLU,,34,16,16.0,14.0,,0.0008003571013755694,3,255,0.5161415114171084,0.00015148497238787182,113.20952118767633,COMPLETE
70,0.29855409264564514,2023-09-05 14:20:44.588164,2023-09-05 14:20:49.772140,0 days 00:00:05.183976,ReLU,Tanh,ReLU,,41,15,13.0,12.0,,0.0009620914686770913,3,401,0.7995883827995547,2.1026410176100935e-05,134.24702609164044,COMPLETE
71,0.3137627840042114,2023-09-05 14:20:49.772421,2023-09-05 14:20:51.048867,0 days 00:00:01.276446,ReLU,Leaky,Tanh,,47,20,8.0,24.0,,0.001675923442626099,3,275,0.48687108123662126,4.841334861434027e-05,112.29363679049308,COMPLETE
72,0.3058736026287079,2023-09-05 14:20:51.049161,2023-09-05 14:20:54.014640,0 days 00:00:02.965479,ReLU,Leaky,ReLU,,53,18,20.0,15.0,,0.0006946313907693721,3,351,0.41971462019050143,9.474764676192098e-05,123.50629926282306,COMPLETE
73,0.297489732503891,2023-09-05 14:20:54.014919,2023-09-05 14:20:56.104138,0 days 00:00:02.089219,ReLU,Leaky,Tanh,,62,21,17.0,11.0,,0.0010622886741150062,3,236,0.5451729969345689,5.8205737430562675e-05,101.25057125091553,COMPLETE
