number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
57,0.16071398556232452,2023-08-23 20:22:42.995907,2023-08-23 20:22:47.476632,0 days 00:00:04.480725,Tanh,ReLU,Leaky,Tanh,,30,23,9.0,5.0,10.0,,0.020985689155308258,4,100,0.6467197940887518,0.00011106973371596962,COMPLETE
58,0.16700223088264465,2023-08-23 20:22:47.476913,2023-08-23 20:22:50.453843,0 days 00:00:02.976930,Tanh,ReLU,Leaky,Tanh,,30,23,10.0,3.0,9.0,,0.017174348933523962,4,100,0.4245948353992937,7.32353242057219e-05,COMPLETE
59,0.16988597810268402,2023-08-23 20:22:50.454140,2023-08-23 20:22:54.769784,0 days 00:00:04.315644,Tanh,ReLU,Leaky,Tanh,,30,24,10.0,4.0,10.0,,0.019314414660450353,4,100,0.6268034390327454,5.651726700850586e-05,COMPLETE
60,0.1795998513698578,2023-08-23 20:22:54.770068,2023-08-23 20:23:05.328520,0 days 00:00:10.558452,Tanh,ReLU,Leaky,Tanh,Tanh,12,24,8.0,4.0,10.0,16.0,0.02457054321447655,5,100,0.6061788318322138,5.797284300187391e-05,COMPLETE
61,0.1643567830324173,2023-08-23 20:23:05.328816,2023-08-23 20:23:08.884352,0 days 00:00:03.555536,Tanh,ReLU,Leaky,Tanh,,30,23,10.0,4.0,10.0,,0.02022439002631285,4,100,0.514822476588561,0.00011368497009855413,COMPLETE
62,0.1718016415834427,2023-08-23 20:23:08.884640,2023-08-23 20:23:13.280824,0 days 00:00:04.396184,Tanh,ReLU,Leaky,Tanh,,30,23,11.0,4.0,11.0,,0.03950816791105857,4,100,0.6387920722040961,3.636938895438708e-05,COMPLETE
63,0.1839587390422821,2023-08-23 20:23:13.281107,2023-08-23 20:23:16.180431,0 days 00:00:02.899324,Tanh,ReLU,Leaky,Tanh,,30,22,13.0,4.0,9.0,,0.052816078938799256,4,100,0.4183602053831694,9.594968708672585e-05,COMPLETE
64,0.1649893969297409,2023-08-23 20:23:16.180719,2023-08-23 20:23:21.311994,0 days 00:00:05.131275,Tanh,ReLU,Leaky,Tanh,,30,23,10.0,2.0,12.0,,0.02156848530364855,4,100,0.7517874838749405,6.585947513936635e-05,COMPLETE
65,0.16355079412460327,2023-08-23 20:23:21.312281,2023-08-23 20:23:26.750079,0 days 00:00:05.437798,Tanh,ReLU,Leaky,Tanh,,30,23,10.0,2.0,12.0,,0.020247048847667825,4,100,0.7947151075579613,0.00010549852160770074,COMPLETE
66,0.18100407719612122,2023-08-23 20:23:26.750370,2023-08-23 20:23:32.202176,0 days 00:00:05.451806,Tanh,ReLU,Leaky,Tanh,,30,23,8.0,2.0,13.0,,0.027853360019297932,4,100,0.7954397611915424,0.00012770423698672554,COMPLETE
67,0.17484356462955475,2023-08-23 20:23:32.202454,2023-08-23 20:23:36.264093,0 days 00:00:04.061639,Tanh,ReLU,Leaky,Tanh,,30,22,10.0,1.0,12.0,,0.012859593546855293,4,80,0.7327147830014143,0.00011392618206287249,COMPLETE
68,0.2808215320110321,2023-08-23 20:23:36.264374,2023-08-23 20:23:41.988660,0 days 00:00:05.724286,Tanh,ReLU,Leaky,Tanh,ReLU,30,21,7.0,5.0,14.0,8.0,0.09706171295372153,5,100,0.7577970687360105,7.560344622017912e-05,COMPLETE
69,0.17345461249351501,2023-08-23 20:23:41.988954,2023-08-23 20:23:46.826015,0 days 00:00:04.837061,Tanh,ReLU,Leaky,Tanh,,30,23,9.0,2.0,15.0,,0.032949849029499705,4,100,0.7062429245742552,4.0038696603661424e-05,COMPLETE
70,0.20605236291885376,2023-08-23 20:23:46.826316,2023-08-23 20:24:19.666338,0 days 00:00:32.840022,Leaky,ReLU,Leaky,Tanh,Tanh,4,20,12.0,3.0,8.0,19.0,0.01989499512954258,5,100,0.6537115754948314,9.537175868637907e-05,COMPLETE
71,0.15582019090652466,2023-08-23 20:24:19.666643,2023-08-23 20:24:24.854985,0 days 00:00:05.188342,Tanh,ReLU,Leaky,Tanh,,30,24,10.0,6.0,10.0,,0.01966877639000568,4,100,0.756645331408254,5.904450419530303e-05,COMPLETE
72,0.15259186923503876,2023-08-23 20:24:24.855298,2023-08-23 20:24:30.316764,0 days 00:00:05.461466,Tanh,ReLU,Leaky,Tanh,,30,23,9.0,6.0,11.0,,0.013209520395082412,4,100,0.7944763971363954,7.315899135033036e-05,COMPLETE
73,0.15707409381866455,2023-08-23 20:24:30.317079,2023-08-23 20:24:35.579268,0 days 00:00:05.262189,Tanh,ReLU,Leaky,Tanh,,30,23,11.0,6.0,11.0,,0.015013196911673219,4,100,0.7634846765966599,6.405996287729209e-05,COMPLETE
74,0.16254398226737976,2023-08-23 20:24:35.579560,2023-08-23 20:24:40.816535,0 days 00:00:05.236975,Tanh,ReLU,Leaky,Tanh,,30,24,11.0,6.0,12.0,,0.024487006980876212,4,100,0.7601865579975605,2.6836912944096187e-05,COMPLETE
75,0.15272675454616547,2023-08-23 20:24:40.816820,2023-08-23 20:24:46.209877,0 days 00:00:05.393057,Tanh,ReLU,Leaky,ReLU,,30,24,11.0,6.0,11.0,,0.04154157631741431,4,100,0.7873182386398553,4.469829831715503e-05,COMPLETE
76,0.15056313574314117,2023-08-23 20:24:46.210166,2023-08-23 20:24:51.664312,0 days 00:00:05.454146,Tanh,ReLU,Leaky,ReLU,,30,24,14.0,6.0,12.0,,0.037510923581219435,4,100,0.7947699909777506,2.071966722393624e-05,COMPLETE
77,0.17507970333099365,2023-08-23 20:24:51.664597,2023-08-23 20:24:56.971955,0 days 00:00:05.307358,Sigmoid,ReLU,Leaky,ReLU,,30,24,14.0,6.0,11.0,,0.05814113072481313,4,100,0.7726462537084628,1.8640978954347007e-05,COMPLETE
78,0.22576335072517395,2023-08-23 20:24:56.972243,2023-08-23 20:25:01.679137,0 days 00:00:04.706894,Tanh,ReLU,Tanh,ReLU,,30,22,15.0,6.0,14.0,,0.03936587274984077,4,100,0.6899694465690304,2.636975931317648e-05,COMPLETE
79,0.18694305419921875,2023-08-23 20:25:01.679421,2023-08-23 20:25:19.122680,0 days 00:00:17.443259,Tanh,ReLU,Leaky,ReLU,,8,24,13.0,7.0,11.0,,0.04585677812748068,4,100,0.7611097432001772,1.5231222456841017e-05,COMPLETE
80,0.17916104197502136,2023-08-23 20:25:19.122966,2023-08-23 20:25:24.929814,0 days 00:00:05.806848,Tanh,ReLU,ReLU,ReLU,,10,20,11.0,6.0,9.0,,0.027054824402508622,4,40,0.7960085712625065,4.343055900517459e-05,COMPLETE
81,0.14365707337856293,2023-08-23 20:25:24.930151,2023-08-23 20:25:30.002706,0 days 00:00:05.072555,Tanh,ReLU,Leaky,ReLU,,30,22,12.0,8.0,12.0,,0.013985282215552957,4,100,0.7363584266853036,2.9712832045090375e-05,COMPLETE
82,0.17048241198062897,2023-08-23 20:25:30.002993,2023-08-23 20:25:35.104255,0 days 00:00:05.101262,Tanh,ReLU,Leaky,ReLU,,30,21,12.0,8.0,12.0,,0.012899042729952091,4,100,0.7387367233811769,3.0715925122000944e-05,COMPLETE
83,0.15970388054847717,2023-08-23 20:25:35.104538,2023-08-23 20:25:39.850865,0 days 00:00:04.746327,Tanh,ReLU,Leaky,ReLU,,30,22,14.0,7.0,13.0,,0.03359832111803501,4,100,0.6916418202066535,3.0964762175058984e-05,COMPLETE
84,0.17033573985099792,2023-08-23 20:25:39.851164,2023-08-23 20:25:44.416526,0 days 00:00:04.565362,Tanh,ReLU,Leaky,ReLU,,30,22,15.0,9.0,15.0,,0.03406629029698789,4,100,0.6598208979937782,5.0241926975016226e-05,COMPLETE
85,0.17966093122959137,2023-08-23 20:25:44.416813,2023-08-23 20:25:48.262742,0 days 00:00:03.845929,Tanh,ReLU,Leaky,ReLU,,30,22,13.0,7.0,13.0,,0.06450759350622823,4,80,0.6962148829098388,4.4374772746970225e-05,COMPLETE
86,0.1703905612230301,2023-08-23 20:25:48.263040,2023-08-23 20:25:58.948848,0 days 00:00:10.685808,Tanh,ReLU,Leaky,ReLU,,12,21,14.0,5.0,7.0,,0.013541739203719145,4,100,0.6882974208816238,2.1273524277243754e-05,COMPLETE
87,0.14717568457126617,2023-08-23 20:25:58.949137,2023-08-23 20:26:03.869631,0 days 00:00:04.920494,Tanh,ReLU,Tanh,Sigmoid,,30,22,16.0,5.0,11.0,,0.008217693254474858,4,100,0.7138854369321311,3.2491042443709644e-05,COMPLETE
88,0.15438586473464966,2023-08-23 20:26:03.869940,2023-08-23 20:26:08.816629,0 days 00:00:04.946689,Leaky,ReLU,Tanh,Sigmoid,,30,20,18.0,7.0,11.0,,0.010632035225331744,4,100,0.7107764726868966,3.182610829962054e-05,COMPLETE
89,0.15048174560070038,2023-08-23 20:26:08.816929,2023-08-23 20:26:14.394803,0 days 00:00:05.577874,Leaky,ReLU,Tanh,Sigmoid,ReLU,30,20,18.0,9.0,11.0,8.0,0.009558323683524904,5,100,0.724735358900682,1.0776730714967414e-05,COMPLETE
90,0.18305446207523346,2023-08-23 20:26:14.395101,2023-08-23 20:26:18.955379,0 days 00:00:04.560278,Leaky,ReLU,Tanh,Sigmoid,ReLU,30,20,18.0,11.0,9.0,8.0,0.007255961231848643,5,100,0.589853154198261,1.36128702142871e-05,COMPLETE
91,0.17306073009967804,2023-08-23 20:26:18.955678,2023-08-23 20:26:24.416452,0 days 00:00:05.460774,Leaky,ReLU,Tanh,Sigmoid,ReLU,30,19,20.0,8.0,11.0,12.0,0.010372122151304562,5,100,0.7152741676649607,1.9556922340396147e-05,COMPLETE
92,0.14937660098075867,2023-08-23 20:26:24.416751,2023-08-23 20:26:30.581929,0 days 00:00:06.165178,Leaky,ReLU,Tanh,Sigmoid,ReLU,30,21,18.0,5.0,11.0,2.0,0.008526355658815772,5,100,0.799424755221188,1.2216504130930302e-05,COMPLETE
