number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
74,0.20597590506076813,2023-09-03 09:46:37.909896,2023-09-03 09:47:02.762407,0 days 00:00:24.852511,ReLU,Leaky,,2,12,7.0,,0.016426808878146012,2,100,0.7622400638076238,4.456950959074829e-05,COMPLETE
75,0.17531755566596985,2023-09-03 09:47:02.762674,2023-09-03 09:47:22.537530,0 days 00:00:19.774856,ReLU,Leaky,,2,15,4.0,,0.010799357227517436,2,80,0.7612739035882297,2.542982059103414e-05,COMPLETE
76,0.2031247317790985,2023-09-03 09:47:22.537794,2023-09-03 09:47:38.731514,0 days 00:00:16.193720,ReLU,Leaky,,2,17,2.0,,0.00296035596827819,2,80,0.6256067539471566,1.553699544504125e-05,COMPLETE
77,0.19792449474334717,2023-09-03 09:47:38.731794,2023-09-03 09:47:54.434551,0 days 00:00:15.702757,ReLU,Leaky,,2,16,16.0,,0.0019041739364259922,2,80,0.5915798754208902,2.4556695283045134e-05,COMPLETE
78,0.19090600311756134,2023-09-03 09:47:54.434821,2023-09-03 09:48:14.370029,0 days 00:00:19.935208,ReLU,Leaky,,2,15,12.0,,0.0017465514468936294,2,80,0.7585321204852455,2.3971915444504267e-05,COMPLETE
79,0.20235607028007507,2023-09-03 09:48:14.370293,2023-09-03 09:48:34.274416,0 days 00:00:19.904123,ReLU,Leaky,,2,15,11.0,,0.003666090074713637,2,80,0.7667825087037449,6.77152885795296e-05,COMPLETE
80,0.2020576000213623,2023-09-03 09:48:34.274691,2023-09-03 09:48:57.022172,0 days 00:00:22.747481,ReLU,Leaky,Leaky,2,18,4.0,5.0,0.0026539099585777353,3,80,0.7110958905665872,2.421141500441857e-05,COMPLETE
81,0.18411396443843842,2023-09-03 09:48:57.022448,2023-09-03 09:49:12.438988,0 days 00:00:15.416540,ReLU,Leaky,,2,16,8.0,,0.0020719760217615983,2,80,0.5811931086658686,2.606359397318711e-05,COMPLETE
82,0.21203835308551788,2023-09-03 09:49:12.439265,2023-09-03 09:49:29.459667,0 days 00:00:17.020402,ReLU,Leaky,,2,15,8.0,,0.001591033597102443,2,80,0.6514216513358589,1.6614210258750044e-05,COMPLETE
83,0.17867985367774963,2023-09-03 09:49:29.459956,2023-09-03 09:49:49.381933,0 days 00:00:19.921977,ReLU,Leaky,,2,18,9.0,,0.001971852802952433,2,80,0.7521271847131438,1.277445591587791e-05,COMPLETE
84,0.17093394696712494,2023-09-03 09:49:49.382205,2023-09-03 09:50:08.066653,0 days 00:00:18.684448,ReLU,Leaky,,2,19,9.0,,0.002150314412704083,2,80,0.7133663948487212,3.360590881001697e-05,COMPLETE
85,0.2246941179037094,2023-09-03 09:50:08.066917,2023-09-03 09:50:25.956950,0 days 00:00:17.890033,ReLU,Leaky,,2,19,9.0,,0.0019221348921076228,2,80,0.6676882256390518,3.6018819415694775e-05,COMPLETE
86,0.18745030462741852,2023-09-03 09:50:25.957227,2023-09-03 09:50:46.059562,0 days 00:00:20.102335,ReLU,Leaky,,2,20,9.0,,0.002463067967176367,2,80,0.7619232215755103,2.6747556521410705e-05,COMPLETE
87,0.19609710574150085,2023-09-03 09:50:46.059831,2023-09-03 09:51:01.470204,0 days 00:00:15.410373,ReLU,Leaky,,2,21,9.0,,0.002419294440649947,2,80,0.5771055483036391,4.8367779162449193e-05,COMPLETE
88,0.1955132931470871,2023-09-03 09:51:01.470479,2023-09-03 09:51:19.953255,0 days 00:00:18.482776,ReLU,Leaky,,2,20,7.0,,0.003526772764772956,2,80,0.7049538578246062,3.258511919209126e-05,COMPLETE
89,0.21163922548294067,2023-09-03 09:51:19.953525,2023-09-03 09:51:36.249550,0 days 00:00:16.296025,ReLU,Leaky,,2,18,8.0,,0.0012745724097230123,2,80,0.6241801492359288,0.00011180146236661541,COMPLETE
90,0.19218426942825317,2023-09-03 09:51:36.249822,2023-09-03 09:51:56.504248,0 days 00:00:20.254426,ReLU,Leaky,,2,20,11.0,,0.0022817555946572617,2,80,0.7558542198718733,6.02134927287877e-05,COMPLETE
91,0.16574910283088684,2023-09-03 09:51:56.504519,2023-09-03 09:52:16.448047,0 days 00:00:19.943528,ReLU,Leaky,,2,17,11.0,,0.0038096981450919487,2,80,0.7597915381807476,2.2133458316656555e-05,COMPLETE
92,0.16585908830165863,2023-09-03 09:52:16.448319,2023-09-03 09:52:33.996634,0 days 00:00:17.548315,ReLU,Leaky,,2,17,10.0,,0.0024167944908622166,2,80,0.6589139344700127,2.0198682844002925e-05,COMPLETE
93,0.18279854953289032,2023-09-03 09:52:33.996931,2023-09-03 09:52:51.117264,0 days 00:00:17.120333,ReLU,Leaky,,2,17,10.0,,0.003530260333254871,2,80,0.6487753268384274,1.986932492512345e-05,COMPLETE
94,0.1862991899251938,2023-09-03 09:52:51.117534,2023-09-03 09:53:08.116858,0 days 00:00:16.999324,ReLU,Leaky,,2,17,10.0,,0.004512733708588971,2,80,0.6509247766177091,2.0472968087838697e-05,COMPLETE
95,0.1996830701828003,2023-09-03 09:53:08.117130,2023-09-03 09:53:22.321606,0 days 00:00:14.204476,ReLU,Leaky,,2,18,8.0,,0.004004245331724357,2,80,0.5425592385227673,4.110421229930938e-05,COMPLETE
96,0.17767561972141266,2023-09-03 09:53:22.321886,2023-09-03 09:53:38.637867,0 days 00:00:16.315981,ReLU,Leaky,,2,17,10.0,,0.005562998253842852,2,80,0.6175326262247943,2.8538078907231992e-05,COMPLETE
97,0.1873573511838913,2023-09-03 09:53:38.638148,2023-09-03 09:53:42.199218,0 days 00:00:03.561070,ReLU,Leaky,,10,18,10.0,,0.0060266734695375995,2,80,0.6212406543049946,1.3136564626830626e-05,COMPLETE
98,0.19516612589359283,2023-09-03 09:53:42.199486,2023-09-03 09:53:50.876381,0 days 00:00:08.676895,ReLU,Leaky,,2,19,11.0,,0.0034874672148564392,2,40,0.6564020689553585,5.116171024787867e-05,COMPLETE
99,0.1834927350282669,2023-09-03 09:53:50.876655,2023-09-03 09:54:09.162329,0 days 00:00:18.285674,ReLU,Leaky,,2,17,12.0,,0.007502054657873647,2,80,0.7028484797951268,1.9044791894256206e-05,COMPLETE
100,0.21671606600284576,2023-09-03 09:54:09.162614,2023-09-03 09:54:13.395860,0 days 00:00:04.233246,ReLU,Sigmoid,,8,17,10.0,,0.0031003810620942253,2,80,0.6056368077315492,3.7161006176683716e-05,COMPLETE
101,0.1854311227798462,2023-09-03 09:54:13.396144,2023-09-03 09:54:31.753112,0 days 00:00:18.356968,ReLU,Leaky,,2,17,12.0,,0.007804210219945202,2,80,0.701503850884296,1.8651353728070403e-05,COMPLETE
102,0.22443260252475739,2023-09-03 09:54:31.753389,2023-09-03 09:54:49.156093,0 days 00:00:17.402704,ReLU,Leaky,,2,16,13.0,,0.005368442998415702,2,80,0.6677757050515205,3.0054679883823083e-05,COMPLETE
103,0.18675357103347778,2023-09-03 09:54:49.156367,2023-09-03 09:55:08.191199,0 days 00:00:19.034832,ReLU,Leaky,,2,19,9.0,,0.008946530821292077,2,80,0.7285927747291059,1.2409710624056426e-05,COMPLETE
