number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
80,0.2677835524082184,2023-09-03 09:53:59.569719,2023-09-03 09:54:10.074005,0 days 00:00:10.504286,ReLU,ReLU,,4,11,1.0,,0.0016702133943531513,2,100,0.6353771476342723,0.0002454950931102072,COMPLETE
81,0.22931978106498718,2023-09-03 09:54:10.074295,2023-09-03 09:54:12.916082,0 days 00:00:02.841787,ReLU,ReLU,Sigmoid,12,10,6.0,14.0,0.004281252223317407,3,80,0.4822767252718462,0.000495793689206926,COMPLETE
82,0.2371307611465454,2023-09-03 09:54:12.916350,2023-09-03 09:54:21.929451,0 days 00:00:09.013101,ReLU,ReLU,Sigmoid,4,9,5.0,19.0,0.0029942784542276754,3,80,0.5424465430707571,0.0003652528100687656,COMPLETE
83,0.21192660927772522,2023-09-03 09:54:21.929724,2023-09-03 09:54:30.064351,0 days 00:00:08.134627,ReLU,ReLU,Sigmoid,4,14,4.0,15.0,0.002147406536976248,3,80,0.49026823563086164,0.0002729513320390518,COMPLETE
84,0.256043940782547,2023-09-03 09:54:30.064634,2023-09-03 09:54:37.814775,0 days 00:00:07.750141,Tanh,Leaky,Sigmoid,4,12,6.0,13.0,0.003847192074328187,3,80,0.461409676733626,0.00013134058068160946,COMPLETE
85,0.2183438539505005,2023-09-03 09:54:37.815064,2023-09-03 09:55:01.685899,0 days 00:00:23.870835,Leaky,ReLU,Leaky,2,8,3.0,11.0,0.0024956196367699585,3,80,0.7378286082118231,0.000488045946639926,COMPLETE
86,0.2661150097846985,2023-09-03 09:55:01.686174,2023-09-03 09:55:08.300306,0 days 00:00:06.614132,ReLU,ReLU,ReLU,2,11,5.0,10.0,0.0013092061612712497,3,40,0.40914150934655896,0.0006308804280105892,COMPLETE
87,0.2925679683685303,2023-09-03 09:55:08.300574,2023-09-03 09:55:12.288380,0 days 00:00:03.987806,Leaky,Sigmoid,,8,13,2.0,,0.00172555039561439,2,80,0.5673658833403594,0.00018961542835900738,COMPLETE
88,0.24367789924144745,2023-09-03 09:55:12.288655,2023-09-03 09:55:14.710804,0 days 00:00:02.422149,Leaky,Tanh,Sigmoid,16,22,4.0,18.0,0.003172360943221803,3,80,0.5132648669412612,0.0008142854009246798,COMPLETE
89,0.2106967717409134,2023-09-03 09:55:14.711088,2023-09-03 09:55:30.533787,0 days 00:00:15.822699,Leaky,Leaky,,2,15,6.0,,0.0010518770278672828,2,80,0.6064975165125824,0.00032414808499864784,COMPLETE
90,0.21461185812950134,2023-09-03 09:55:30.534064,2023-09-03 09:55:34.818584,0 days 00:00:04.284520,Leaky,ReLU,,10,10,7.0,,0.005728061612195287,2,80,0.7495652588627812,0.0004394905634955796,COMPLETE
91,0.24923542141914368,2023-09-03 09:55:34.818853,2023-09-03 09:55:50.454188,0 days 00:00:15.635335,Leaky,Leaky,,2,12,6.0,,0.0009911750851373277,2,80,0.5996564095385086,0.0003431732778956044,COMPLETE
92,0.21373212337493896,2023-09-03 09:55:50.454453,2023-09-03 09:56:07.955422,0 days 00:00:17.500969,Leaky,Leaky,,2,23,5.0,,0.0011846299864711105,2,80,0.6541108212067543,0.0002411093481192559,COMPLETE
93,0.24834614992141724,2023-09-03 09:56:07.955692,2023-09-03 09:56:21.897445,0 days 00:00:13.941753,Leaky,Leaky,,2,15,3.0,,0.0005223268898505018,2,80,0.5315532512698423,0.0003038770841552929,COMPLETE
94,0.20586912333965302,2023-09-03 09:56:21.897718,2023-09-03 09:56:36.937739,0 days 00:00:15.040021,Leaky,Leaky,,2,21,7.0,,0.00234523872317899,2,80,0.5685687352876446,0.0005560556253746394,COMPLETE
95,0.19846215844154358,2023-09-03 09:56:36.938015,2023-09-03 09:56:55.913104,0 days 00:00:18.975089,Leaky,ReLU,,2,21,9.0,,0.002402170019178157,2,80,0.7115841733117939,0.000545296252997731,COMPLETE
96,0.23346176743507385,2023-09-03 09:56:55.913376,2023-09-03 09:56:58.591451,0 days 00:00:02.678075,Sigmoid,ReLU,,16,21,10.0,,0.0023468692349448237,2,80,0.6990726303102267,0.0006157587772655058,COMPLETE
97,0.22510112822055817,2023-09-03 09:56:58.591722,2023-09-03 09:57:07.795368,0 days 00:00:09.203646,Leaky,ReLU,,4,19,8.0,,0.0015756938307239566,2,80,0.6701051967055474,0.000555838560175255,COMPLETE
98,0.18120256066322327,2023-09-03 09:57:07.795637,2023-09-03 09:57:28.041110,0 days 00:00:20.245473,Leaky,ReLU,,2,20,9.0,,0.0019233615773029539,2,80,0.7638901819585792,0.0008103648214887073,COMPLETE
99,0.21705761551856995,2023-09-03 09:57:28.041374,2023-09-03 09:57:48.047305,0 days 00:00:20.005931,ReLU,ReLU,,2,20,9.0,,0.0038921101071290945,2,80,0.7592601061945988,0.0008713304454568787,COMPLETE
100,0.17251768708229065,2023-09-03 09:57:48.047571,2023-09-03 09:58:11.241697,0 days 00:00:23.194126,Leaky,ReLU,,2,21,8.0,,0.002037495076381959,2,100,0.7079233032408748,0.0012668719916768564,COMPLETE
101,0.2129332721233368,2023-09-03 09:58:11.241963,2023-09-03 09:58:35.023587,0 days 00:00:23.781624,Leaky,ReLU,,2,21,11.0,,0.0019134819305979102,2,100,0.7078406973009741,0.0012224196391869484,COMPLETE
102,0.20644167065620422,2023-09-03 09:58:35.023875,2023-09-03 09:58:59.321856,0 days 00:00:24.297981,Leaky,ReLU,,2,19,9.0,,0.0023330546622432405,2,100,0.7320363104672509,0.0007405852783680195,COMPLETE
103,0.21373149752616882,2023-09-03 09:58:59.322127,2023-09-03 09:59:25.378206,0 days 00:00:26.056079,Leaky,ReLU,,2,20,8.0,,0.0034442320067352827,2,100,0.7850269500655366,0.001091772729079226,COMPLETE
104,0.18721331655979156,2023-09-03 09:59:25.378478,2023-09-03 09:59:51.929344,0 days 00:00:26.550866,Leaky,Tanh,,2,21,9.0,,0.00285533115567969,2,100,0.7990029570853726,0.0015163223916844662,COMPLETE
105,0.23599755764007568,2023-09-03 09:59:51.929620,2023-09-03 10:00:18.101552,0 days 00:00:26.171932,Leaky,Tanh,,2,20,10.0,,0.0014069729943270554,2,100,0.7999588258719437,0.0022416609269588156,COMPLETE
106,0.20438337326049805,2023-09-03 10:00:18.101823,2023-09-03 10:00:43.040420,0 days 00:00:24.938597,Leaky,Tanh,,2,22,12.0,,0.0007498959218887131,2,100,0.7522432794848796,0.0017220178862727455,COMPLETE
107,0.24736875295639038,2023-09-03 10:00:43.040690,2023-09-03 10:01:07.831400,0 days 00:00:24.790710,Tanh,Tanh,,2,22,13.0,,0.004422144783305405,2,100,0.7505156691560751,0.0016900695998092663,COMPLETE
108,0.2794799506664276,2023-09-03 10:01:07.831679,2023-09-03 10:01:09.767334,0 days 00:00:01.935655,Leaky,Tanh,,30,17,12.0,,0.0007363108405944064,2,100,0.6852027142749948,0.0009843607685281986,COMPLETE
109,0.2230949103832245,2023-09-03 10:01:09.767611,2023-09-03 10:01:33.799680,0 days 00:00:24.032069,Leaky,ReLU,,2,21,16.0,,0.0029497501859160834,2,100,0.7111398289456639,0.0014527296535249022,COMPLETE
110,0.2177504301071167,2023-09-03 10:01:33.799955,2023-09-03 10:01:58.889972,0 days 00:00:25.090017,Leaky,Tanh,,2,18,9.0,,0.0026280064938077694,2,100,0.7612336235986067,0.0018283120428117096,COMPLETE
111,0.2205943912267685,2023-09-03 10:01:58.890250,2023-09-03 10:02:24.330739,0 days 00:00:25.440489,Leaky,Tanh,,2,22,11.0,,0.001261951378171398,2,100,0.7734180149234323,0.0007542463276622778,COMPLETE
112,0.24216270446777344,2023-09-03 10:02:24.331024,2023-09-03 10:02:45.728771,0 days 00:00:21.397747,Leaky,Tanh,,2,20,10.0,,0.001837894544558274,2,100,0.6522603290400327,0.001096400655125699,COMPLETE
113,0.20451350510120392,2023-09-03 10:02:45.729045,2023-09-03 10:03:09.874016,0 days 00:00:24.144971,Leaky,Tanh,,2,19,8.0,,0.0008529146712450512,2,100,0.733541059729535,0.00045197666707278225,COMPLETE
114,0.18842704594135284,2023-09-03 10:03:09.874290,2023-09-03 10:03:32.769086,0 days 00:00:22.894796,Leaky,Tanh,,2,19,8.0,,0.0008932730197122739,2,100,0.6990149338100876,0.0013774454571395423,COMPLETE
