number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
87,0.20335440337657928,2023-09-03 22:36:31.831969,2023-09-03 22:36:38.959547,0 days 00:00:07.127578,Sigmoid,Tanh,Tanh,,10,12,19.0,24.0,,0.0019147896160562655,3,100,0.7987545101908684,5.4974153637497356e-05,COMPLETE
88,0.21447983384132385,2023-09-03 22:36:38.959888,2023-09-03 22:36:45.229949,0 days 00:00:06.270061,Tanh,Leaky,Tanh,,10,16,24.0,21.0,,0.001117555890252751,3,100,0.7016022670801146,6.796513429707604e-05,COMPLETE
89,0.177641823887825,2023-09-03 22:36:45.230251,2023-09-03 22:36:50.892972,0 days 00:00:05.662721,Tanh,Leaky,Sigmoid,,12,18,22.0,23.0,,0.002646999411618612,3,100,0.7418156904341108,8.405314706747594e-05,COMPLETE
90,0.21870136260986328,2023-09-03 22:36:50.893277,2023-09-03 22:36:57.652374,0 days 00:00:06.759097,Tanh,Leaky,Sigmoid,,12,17,22.0,22.0,,0.0022932306254015403,3,100,0.7394506715047267,0.0001041375580560953,COMPLETE
91,0.18866829574108124,2023-09-03 22:36:57.652683,2023-09-03 22:37:02.845267,0 days 00:00:05.192584,Tanh,Leaky,Sigmoid,,12,16,22.0,23.0,,0.002832737889868017,3,100,0.6778685076939901,7.695838610412335e-05,COMPLETE
92,0.1794368028640747,2023-09-03 22:37:02.845571,2023-09-03 22:37:08.363013,0 days 00:00:05.517442,Tanh,Leaky,Sigmoid,,12,18,21.0,23.0,,0.001491934300809266,3,100,0.7266069144060273,0.00012269400430654713,COMPLETE
93,0.16464979946613312,2023-09-03 22:37:08.363304,2023-09-03 22:37:12.297074,0 days 00:00:03.933770,Tanh,Leaky,Sigmoid,,30,15,23.0,20.0,,0.002109514387685807,3,100,0.6994952398540586,5.949049062486971e-05,COMPLETE
94,0.20528544485569,2023-09-03 22:37:12.297374,2023-09-03 22:37:14.922168,0 days 00:00:02.624794,Tanh,Leaky,Sigmoid,,30,15,24.0,20.0,,0.0018820639868305994,3,100,0.759369666657607,5.809222064951865e-05,COMPLETE
95,0.22142192721366882,2023-09-03 22:37:14.922488,2023-09-03 22:37:17.373893,0 days 00:00:02.451405,Tanh,Leaky,Sigmoid,,30,14,23.0,24.0,,0.0027503426434735277,3,100,0.7077296665097493,8.768680841438647e-05,COMPLETE
96,0.20849326252937317,2023-09-03 22:37:17.374188,2023-09-03 22:37:20.120093,0 days 00:00:02.745905,Tanh,Leaky,Sigmoid,,30,15,21.0,21.0,,0.004298171861264866,3,100,0.793901259084632,5.564807120912759e-05,COMPLETE
97,0.18707607686519623,2023-09-03 22:37:20.120395,2023-09-03 22:37:51.246575,0 days 00:00:31.126180,Tanh,Leaky,Sigmoid,,2,13,22.0,23.0,,0.0022418001286536983,3,100,0.7364229669241158,4.209504040838703e-05,COMPLETE
98,0.18882262706756592,2023-09-03 22:37:51.246876,2023-09-03 22:37:57.321060,0 days 00:00:06.074184,Tanh,Sigmoid,Tanh,Tanh,12,19,23.0,19.0,23.0,0.005458662576356634,4,100,0.606117475520836,7.901580244571289e-05,COMPLETE
99,0.18143242597579956,2023-09-03 22:37:57.321374,2023-09-03 22:38:01.995933,0 days 00:00:04.674559,Tanh,Leaky,Sigmoid,,30,12,24.0,16.0,,0.0014900295636102838,3,100,0.6913190846387226,0.00023003671108097153,COMPLETE
100,0.22622455656528473,2023-09-03 22:38:01.996413,2023-09-03 22:38:09.645342,0 days 00:00:07.648929,Sigmoid,Leaky,Tanh,,10,17,10.0,21.0,,0.0010366571481481947,3,100,0.6388389476223035,0.00013089811453972566,COMPLETE
101,0.19657407701015472,2023-09-03 22:38:09.645651,2023-09-03 22:38:14.647018,0 days 00:00:05.001367,Tanh,Leaky,,,10,16,22.0,,,0.0012340339309992515,2,100,0.6792654506976027,0.00010046296867755051,COMPLETE
102,0.19123820960521698,2023-09-03 22:38:14.647317,2023-09-03 22:38:19.587956,0 days 00:00:04.940639,Tanh,Leaky,,,10,15,20.0,,,0.0009686282810288234,2,100,0.664352234968192,0.00015247446054048933,COMPLETE
103,0.18875934183597565,2023-09-03 22:38:19.588234,2023-09-03 22:38:25.470585,0 days 00:00:05.882351,Tanh,Leaky,Tanh,,16,14,21.0,22.0,,0.0028452038667435334,3,100,0.7586139374878146,4.662806576511335e-05,COMPLETE
104,0.2199980914592743,2023-09-03 22:38:25.470887,2023-09-03 22:38:27.574719,0 days 00:00:02.103832,Tanh,Leaky,,,10,18,21.0,,,0.0021718559852789603,2,40,0.7211587404532371,6.894688858798649e-05,COMPLETE
105,0.21336138248443604,2023-09-03 22:38:27.575020,2023-09-03 22:38:29.590052,0 days 00:00:02.015032,Tanh,Tanh,Sigmoid,,30,16,23.0,23.0,,0.001622662888294279,3,100,0.584087673349405,0.00017545530048695385,COMPLETE
106,0.19108688831329346,2023-09-03 22:38:29.590354,2023-09-03 22:38:34.069770,0 days 00:00:04.479416,Leaky,Leaky,,,10,14,19.0,,,0.0005662332158623813,2,100,0.6278170308264539,0.00022307686772963633,COMPLETE
107,0.20620375871658325,2023-09-03 22:38:34.070056,2023-09-03 22:38:39.086236,0 days 00:00:05.016180,Tanh,Leaky,Leaky,,12,17,22.0,18.0,,0.0046555982840281885,3,100,0.6614912444376972,0.00013940075050787725,COMPLETE
108,0.20198340713977814,2023-09-03 22:38:39.086533,2023-09-03 22:38:44.269652,0 days 00:00:05.183119,Tanh,Leaky,,,10,15,20.0,,,0.0031173017420611715,2,100,0.7098233847962788,9.364399715331516e-05,COMPLETE
109,0.1691659390926361,2023-09-03 22:38:44.269936,2023-09-03 22:38:50.909477,0 days 00:00:06.639541,Tanh,Leaky,Tanh,,10,11,6.0,14.0,,0.0013210447074206452,3,100,0.7557476633740114,0.00011676599099819725,COMPLETE
110,0.16132496297359467,2023-09-03 22:38:50.909769,2023-09-03 22:38:57.759164,0 days 00:00:06.849395,Tanh,Leaky,Tanh,,10,10,24.0,13.0,,0.001393401708405322,3,100,0.7706600972806344,0.00011146655694664911,COMPLETE
