number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
100,0.2737429738044739,2023-09-04 00:36:51.202528,2023-09-04 00:36:57.997361,0 days 00:00:06.794833,Sigmoid,,,,30,23,,,,0.01059945103061213,1,100,0.6853678550103266,0.000540029683915684,COMPLETE
101,0.17602728307247162,2023-09-04 00:36:57.997799,2023-09-04 00:37:07.981847,0 days 00:00:09.984048,Leaky,Tanh,,,30,24,18.0,,,0.016207736965147213,2,100,0.7860171533210306,0.0004297281798517509,COMPLETE
102,0.17703209817409515,2023-09-04 00:37:07.982295,2023-09-04 00:37:18.145628,0 days 00:00:10.163333,Leaky,Tanh,,,30,21,17.0,,,0.018355694604526688,2,100,0.7985838588493102,0.0006929803040481143,COMPLETE
103,0.19354403018951416,2023-09-04 00:37:18.146090,2023-09-04 00:37:27.392854,0 days 00:00:09.246764,Leaky,Tanh,,,30,21,17.0,,,0.01954605647475526,2,100,0.729375561508836,0.0007596813510548284,COMPLETE
104,0.17670249938964844,2023-09-04 00:37:27.393305,2023-09-04 00:37:35.426763,0 days 00:00:08.033458,Leaky,Tanh,,,30,22,19.0,,,0.014860162473564642,2,100,0.7650919865973149,0.0006083103455467749,COMPLETE
105,0.16898272931575775,2023-09-04 00:37:35.427031,2023-09-04 00:37:38.463118,0 days 00:00:03.036087,Leaky,Tanh,,,30,22,19.0,,,0.00820079223678665,2,100,0.6478572678450786,0.0004911414407054082,COMPLETE
106,0.1869971752166748,2023-09-04 00:37:38.463395,2023-09-04 00:37:41.198474,0 days 00:00:02.735079,Leaky,Tanh,,,30,23,21.0,,,0.008650665610557353,2,100,0.6448902550571141,0.0003117715923041567,COMPLETE
107,0.1809893101453781,2023-09-04 00:37:41.198745,2023-09-04 00:37:45.154345,0 days 00:00:03.955600,Leaky,Tanh,,,30,22,18.0,,,0.01122123731645721,2,100,0.7041053594548807,0.00022180752535907154,COMPLETE
108,0.18646733462810516,2023-09-04 00:37:45.154614,2023-09-04 00:37:49.500481,0 days 00:00:04.345867,Leaky,Leaky,,,30,20,20.0,,,0.006850276165656258,2,100,0.6687227984279075,0.0004684510453218194,COMPLETE
109,0.18139983713626862,2023-09-04 00:37:49.500772,2023-09-04 00:37:52.595563,0 days 00:00:03.094791,Leaky,Tanh,,,30,24,19.0,,,0.02405473141306734,2,100,0.7317123183077661,0.00013589316610708812,COMPLETE
